# case	product	TECDOC table	published physical yield at Ebeam [GBq/C]
p-Zn067-Ga067	Ga067	5.1.1b	35.1
p-Zn068-Ga067	Ga067	5.1.2b	82.8
p-Te123-I123	I123	5.1.7b	72.2
p-Te124-I123	I123	5.1.8b	289
p-Te124-I124	I124	5.1.9b	186
p-I127-Xe123	Xe123	5.1.10b	4692
p-I127-Xe125	Xe125	5.1.11b	708
p-Xe124-Cs123	Cs123	5.1.12b	46874
p-Xe124-Xe123	Xe123	5.1.13b	see two published fits
p-Tl203-Pb201	Pb201	5.1.14b	558
p-Tl203-Pb202m	Pb202m	5.1.15b	52.3
p-Tl203-Pb200	Pb200	5.1.16b	74.6
p-N014-C011	C011	5.2.1b	6434
p-O016-N013	N013	5.2.2b	2229
p-N015-O015	O015	5.2.4b	43834
p-O018-F018	F018	5.2.5b	1247
p-Ga069-Ge068	Ge068	5.2.7b	0.898
p-Ga000-Ge068	Ge068	5.2.8b	0.788
