# header:
#   title: bremsstrahlung for E-incident 114 MeV
# datablock:
#   columns: 2
#   entries: 228
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              5.768091800343e-01
    0.85              2.364647452427e-01
    1.35              1.482272991856e-01
    1.85              1.076857699162e-01
    2.35              8.439595522944e-02
    2.85              6.927800534508e-02
    3.35              5.867287632172e-02
    3.85              5.082232626547e-02
    4.35              4.477650036008e-02
    4.85              3.997723649704e-02
    5.35              3.607503129999e-02
    5.85              3.283986972637e-02
    6.35              3.011418241630e-02
    6.85              2.778640566246e-02
    7.35              2.577533322886e-02
    7.85              2.402044836642e-02
    8.35              2.247572935577e-02
    8.85              2.110555486610e-02
    9.35              1.988192310260e-02
    9.85              1.878251791407e-02
   10.35              1.778933544907e-02
   10.85              1.688769053845e-02
   11.35              1.606548570806e-02
   11.85              1.531266525154e-02
   12.35              1.462080191701e-02
   12.85              1.398278008711e-02
   13.35              1.339255015458e-02
   13.85              1.284493610166e-02
   14.35              1.233548330678e-02
   14.85              1.186033709741e-02
   15.35              1.141614503849e-02
   15.85              1.099997771515e-02
   16.35              1.060926405073e-02
   16.85              1.024173814087e-02
   17.35              9.895395280576e-03
   17.85              9.568455381641e-03
   18.35              9.259332370931e-03
   18.85              8.966608458932e-03
   19.35              8.689012397683e-03
   19.85              8.425401024658e-03
   20.35              8.174743527457e-03
   20.85              7.936107972568e-03
   21.35              7.708649727042e-03
   21.85              7.491601469869e-03
   22.35              7.284264544113e-03
   22.85              7.086001444430e-03
   23.35              6.896229269787e-03
   23.85              6.714413999741e-03
   24.35              6.540065475898e-03
   24.85              6.372732989232e-03
   25.35              6.212001389613e-03
   25.85              6.057487646847e-03
   26.35              5.908837803237e-03
   26.85              5.765724266651e-03
   27.35              5.627843400507e-03
   27.85              5.494913373363e-03
   28.35              5.366672236066e-03
   28.85              5.242876198848e-03
   29.35              5.123298084533e-03
   29.85              5.007725937197e-03
   30.35              4.895961768357e-03
   30.85              4.787820425087e-03
   31.35              4.683128566451e-03
   31.85              4.581723736343e-03
   32.35              4.483453522313e-03
   32.85              4.388174791206e-03
   33.35              4.295752993565e-03
   33.85              4.206061529681e-03
   34.35              4.118981171004e-03
   34.85              4.034399531371e-03
   35.35              3.952210583100e-03
   35.85              3.872314213581e-03
   36.35              3.794615818464e-03
   36.85              3.719025927964e-03
   37.35              3.645459863179e-03
   37.85              3.573837419658e-03
   38.35              3.504082575706e-03
   38.85              3.436123223234e-03
   39.35              3.369890919109e-03
   39.85              3.305320655238e-03
   40.35              3.242350645738e-03
   40.85              3.180922129738e-03
