# header:
#   title: bremsstrahlung for E-incident 71 MeV
# datablock:
#   columns: 2
#   entries: 142
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              6.365310492771e-01
    0.85              2.602460944569e-01
    1.35              1.626907357999e-01
    1.85              1.178680034439e-01
    2.35              9.211877421816e-02
    2.85              7.540436226459e-02
    3.35              6.367932701359e-02
    3.85              5.499975546414e-02
    4.35              4.831548771916e-02
    4.85              4.300941950923e-02
    5.35              3.869513974976e-02
    5.85              3.511834370985e-02
    6.35              3.210482263686e-02
    6.85              2.953123164751e-02
    7.35              2.730778909209e-02
    7.85              2.536758762654e-02
    8.35              2.365974561793e-02
    8.85              2.214488010748e-02
    9.35              2.079203229867e-02
    9.85              1.957652944508e-02
   10.35              1.847846648072e-02
   10.85              1.748160747621e-02
   11.35              1.657257745888e-02
   11.85              1.574025883542e-02
   12.35              1.497533443248e-02
   12.85              1.426993722043e-02
   13.35              1.361737875086e-02
   13.85              1.301193641627e-02
   14.35              1.244868518514e-02
   14.85              1.192336332985e-02
   15.35              1.143226439672e-02
   15.85              1.097214962341e-02
   16.35              1.054017642645e-02
   16.85              1.013383962100e-02
   17.35              9.750922804343e-03
   17.85              9.389457910183e-03
   18.35              9.047691375378e-03
   18.85              8.724055691226e-03
   19.35              8.417145365428e-03
   19.85              8.125696517001e-03
   20.35              7.848569479306e-03
   20.85              7.584733906250e-03
   21.35              7.333255971275e-03
   21.85              7.093287323943e-03
   22.35              6.864055528840e-03
   22.85              6.644855759781e-03
   23.35              6.435043561131e-03
   23.85              6.234028519658e-03
   24.35              6.041268716027e-03
   24.85              5.856265846144e-03
   25.35              5.678560919847e-03
   25.85              5.507730458783e-03
   26.35              5.343383127171e-03
   26.85              5.185156739009e-03
   27.35              5.032715593558e-03
   27.85              4.885748097854e-03
   28.35              4.743964640799e-03
   28.85              4.607095688321e-03
   29.35              4.474890073237e-03
   29.85              4.347113456982e-03
   30.35              4.223546943405e-03
   30.85              4.103985827350e-03
   31.35              3.988238463004e-03
   31.85              3.876125238826e-03
   32.35              3.767477647543e-03
   32.85              3.662137441079e-03
   33.35              3.559955861495e-03
   33.85              3.460792940097e-03
   34.35              3.364516857750e-03
   34.85              3.271003360262e-03
   35.35              3.180135223382e-03
   35.85              3.091801762566e-03
   36.35              3.005898383202e-03
   36.85              2.922326167458e-03
   37.35              2.840991494304e-03
   37.85              2.761805689661e-03
   38.35              2.684684703914e-03
   38.85              2.609548814325e-03
   39.35              2.536322350138e-03
   39.85              2.464933438378e-03
   40.35              2.395313768545e-03
   40.85              2.327398374595e-03
   41.35              2.261125432736e-03
   41.85              2.196436073717e-03
   42.35              2.133274208418e-03
   42.85              2.071586365645e-03
   43.35              2.011321541161e-03
   43.85              1.952431057030e-03
   44.35              1.894868430489e-03
   44.85              1.838589251585e-03
   45.35              1.783551068909e-03
   45.85              1.729713282801e-03
   46.35              1.677037045477e-03
   46.85              1.625485167541e-03
   47.35              1.575022030427e-03
   47.85              1.525613504329e-03
   48.35              1.477226871221e-03
   48.85              1.429830752610e-03
   49.35              1.383395041670e-03
   49.85              1.337890839475e-03
   50.35              1.293290395020e-03
   50.85              1.249567048784e-03
   51.35              1.206695179593e-03
   51.85              1.164650154552e-03
   52.35              1.123408281852e-03
   52.85              1.082946766251e-03
   53.35              1.043243667062e-03
   53.85              1.004277858481e-03
   54.35              9.660289920998e-04
   54.85              9.284774614776e-04
   55.35              8.916043686264e-04
   55.85              8.553914922989e-04
   56.35              8.198212579648e-04
   56.85              7.848767093710e-04
   57.35              7.505414815896e-04
   57.85              7.167997754639e-04
   58.35              6.836363333677e-04
   58.85              6.510364162010e-04
   59.35              6.189857815476e-04
   59.85              5.874706629286e-04
   60.35              5.564777500861e-04
   60.85              5.259941702403e-04
   61.35              4.960074702615e-04
   61.85              4.665055997084e-04
   62.35              4.374768946814e-04
   62.85              4.089100624473e-04
   63.35              3.807941667914e-04
   63.85              3.531186140588e-04
   64.35              3.258731398458e-04
   64.85              2.990477963069e-04
   65.35              2.726329400447e-04
   65.85              2.466192205520e-04
   66.35              2.209975691751e-04
   66.85              1.957591885743e-04
   67.35              1.708955426520e-04
   67.85              1.463983469276e-04
   68.35              1.222595593337e-04
   68.85              9.847137141442e-05
   69.35              7.502619990346e-05
   69.85              5.191667866468e-05
   70.35              2.913565097584e-05
   70.85              6.676162139354e-06
