# header:
#   title: bremsstrahlung for E-incident 91 MeV
# datablock:
#   columns: 2
#   entries: 182
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              6.038191231456e-01
    0.85              2.472600224918e-01
    1.35              1.548187741742e-01
    1.85              1.123457681904e-01
    2.35              8.794638177418e-02
    2.85              7.210818357418e-02
    3.35              6.099780573239e-02
    3.85              5.277324031704e-02
    4.35              4.643937959487e-02
    4.85              4.141146953707e-02
    5.35              3.732335575176e-02
    5.85              3.393406483572e-02
    6.35              3.107852052064e-02
    6.85              2.863984398878e-02
    7.35              2.653296018235e-02
    7.85              2.469446921750e-02
    8.35              2.307615681131e-02
    8.85              2.164070456402e-02
    9.35              2.035877662124e-02
    9.85              1.920699364728e-02
   10.35              1.816649405245e-02
   10.85              1.722189303778e-02
   11.35              1.636051678212e-02
   11.85              1.557183050583e-02
   12.35              1.484700546649e-02
   12.85              1.417858704500e-02
   13.35              1.356023741913e-02
   13.85              1.298653397563e-02
   14.35              1.245280986617e-02
   14.85              1.195502677419e-02
   15.35              1.148967254813e-02
   15.85              1.105367821015e-02
   16.35              1.064435019253e-02
   16.85              1.025931463887e-02
   17.35              9.896471336146e-03
   17.85              9.553955389312e-03
   18.35              9.230105161652e-03
   18.85              8.923435317422e-03
   19.35              8.632614043954e-03
   19.85              8.356443716252e-03
   20.35              8.093844412024e-03
   20.85              7.843839798647e-03
   21.35              7.605545003226e-03
   21.85              7.378156148100e-03
   22.35              7.160941290965e-03
   22.85              6.953232554493e-03
   23.35              6.754419267120e-03
   23.85              6.563941966639e-03
   24.35              6.381287142564e-03
   24.85              6.205982613221e-03
   25.35              6.037593449926e-03
   25.85              5.875718374187e-03
   26.35              5.719986565078e-03
   26.85              5.570054823349e-03
   27.35              5.425605046581e-03
   27.85              5.286341976341e-03
   28.35              5.151991183710e-03
   28.85              5.022297264308e-03
   29.35              4.897022217798e-03
   29.85              4.775943990267e-03
   30.35              4.658855160678e-03
   30.85              4.545561755062e-03
   31.35              4.435882174187e-03
   31.85              4.329646222224e-03
   32.35              4.226694225500e-03
   32.85              4.126876231721e-03
   33.35              4.030051281233e-03
   33.85              3.936086742872e-03
   34.35              3.844857707811e-03
   34.85              3.756246435593e-03
   35.35              3.670141847171e-03
   35.85              3.586439060379e-03
   36.35              3.505038963733e-03
   36.85              3.425847824933e-03
   37.35              3.348776930813e-03
   37.85              3.273742255825e-03
   38.35              3.200664156455e-03
   38.85              3.129467089245e-03
   39.35              3.060079350298e-03
   39.85              2.992432834413e-03
   40.35              2.926462812105e-03
   40.85              2.862107723024e-03
   41.35              2.799308984344e-03
   41.85              2.738010812896e-03
   42.35              2.678160059901e-03
   42.85              2.619706057267e-03
   43.35              2.562600474533e-03
   43.85              2.506797185589e-03
   44.35              2.452252144423e-03
   44.85              2.398923269170e-03
   45.35              2.346770333834e-03
   45.85              2.295754867098e-03
   46.35              2.245840057682e-03
   46.85              2.196990665756e-03
   47.35              2.149172939973e-03
   47.85              2.102354539704e-03
   48.35              2.056504462087e-03
   48.85              2.011592973573e-03
   49.35              1.967591545615e-03
   49.85              1.924472794247e-03
   50.35              1.882210423243e-03
   50.85              1.840779170647e-03
   51.35              1.800154758413e-03
   51.85              1.760313844968e-03
   52.35              1.721233980490e-03
   52.85              1.682893564726e-03
   53.35              1.645271807176e-03
   53.85              1.608348689507e-03
   54.35              1.572104930029e-03
   54.85              1.536521950121e-03
   55.35              1.501581842479e-03
   55.85              1.467267341062e-03
   56.35              1.433561792643e-03
   56.85              1.400449129860e-03
   57.35              1.367913845678e-03
   57.85              1.335940969174e-03
   58.35              1.304516042567e-03
   58.85              1.273625099420e-03
   59.35              1.243254643942e-03
   59.85              1.213391631330e-03
   60.35              1.184023449083e-03
   60.85              1.155137899248e-03
   61.35              1.126723181522e-03
   61.85              1.098767877178e-03
   62.35              1.071260933770e-03
   62.85              1.044191650559e-03
   63.35              1.017549664637e-03
   63.85              9.913249376950e-04
   64.35              9.655077434175e-04
   64.85              9.400886554512e-04
   65.35              9.150585359312e-04
   65.85              8.904085245285e-04
   66.35              8.661300279924e-04
   66.85              8.422147101628e-04
   67.35              8.186544824273e-04
   67.85              7.954414945995e-04
   68.35              7.725681261985e-04
   68.85              7.500269781083e-04
   69.35              7.278108645977e-04
   69.85              7.059128056828e-04
   70.35              6.843260198158e-04
   70.85              6.630439168826e-04
   71.35              6.420600914958e-04
   71.85              6.213683165667e-04
   72.35              6.009625371446e-04
   72.85              5.808368645094e-04
   73.35              5.609855705058e-04
   73.85              5.414030821083e-04
   74.35              5.220839762043e-04
   74.85              5.030229745876e-04
   75.35              4.842149391503e-04
   75.85              4.656548672652e-04
   76.35              4.473378873499e-04
   76.85              4.292592546032e-04
   77.35              4.114143469082e-04
   77.85              3.937986608920e-04
   78.35              3.764078081370e-04
   78.85              3.592375115362e-04
   79.35              3.422836017860e-04
   79.85              3.255420140115e-04
   80.35              3.090087845166e-04
   80.85              2.926800476562e-04
   81.35              2.765520328223e-04
   81.85              2.606210615417e-04
   82.35              2.448835446786e-04
   82.85              2.293359797390e-04
   83.35              2.139749482720e-04
   83.85              1.987971133639e-04
   84.35              1.837992172218e-04
   84.85              1.689780788421e-04
   85.35              1.543305917615e-04
   85.85              1.398537218863e-04
   86.35              1.255445053970e-04
   86.85              1.114000467257e-04
   87.35              9.741751660238e-05
   87.85              8.359415016860e-05
   88.35              6.992724515455e-05
   88.85              5.641416011816e-05
   89.35              4.305231274305e-05
   89.85              2.983917819349e-05
   90.35              1.677228752384e-05
   90.85              3.849226140583e-06
