# header:
#   title: bremsstrahlung for E-incident 34 MeV
# datablock:
#   columns: 2
#   entries: 68
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              7.569862723838e-01
    0.85              3.070687256475e-01
    1.35              1.904234357529e-01
    1.85              1.368296539095e-01
    2.35              1.060417366802e-01
    2.85              8.605659742618e-02
    3.35              7.203717138229e-02
    3.85              6.165915470045e-02
    4.35              5.366688897995e-02
    4.85              4.732251309873e-02
    5.35              4.216400186821e-02
    5.85              3.788728742923e-02
    6.35              3.428407132709e-02
    6.85              3.120687217417e-02
    7.35              2.854833957267e-02
    7.85              2.622847354461e-02
    8.35              2.418643578338e-02
    8.85              2.237513675224e-02
    9.35              2.075755954261e-02
    9.85              1.930420336949e-02
   10.35              1.799126808266e-02
   10.85              1.679934065636e-02
   11.35              1.571242886234e-02
   11.85              1.471723958259e-02
   12.35              1.380263243075e-02
   12.85              1.295920093274e-02
   13.35              1.217894782411e-02
   13.85              1.145503067999e-02
   14.35              1.078156072362e-02
   14.85              1.015344227946e-02
   15.35              9.566243603652e-03
   15.85              9.016092162910e-03
   16.35              8.499589128329e-03
   16.85              8.013739092833e-03
   17.35              7.555891941227e-03
   17.85              7.123694489991e-03
   18.35              6.715050033373e-03
   18.85              6.328084327770e-03
   19.35              5.961116849846e-03
   19.85              5.612636398518e-03
   20.35              5.281280293692e-03
   20.85              4.965816567995e-03
   21.35              4.665128660831e-03
   21.85              4.378202213950e-03
   22.35              4.104113639412e-03
   22.85              3.842020188487e-03
   23.35              3.591151296487e-03
   23.85              3.350801016312e-03
   24.35              3.120321384193e-03
   24.85              2.899116586364e-03
   25.35              2.686637816063e-03
   25.85              2.482378727399e-03
   26.35              2.285871406805e-03
   26.85              2.096682794614e-03
   27.35              1.914411499138e-03
   27.85              1.738684953950e-03
   28.35              1.569156875963e-03
   28.85              1.405504987855e-03
   29.35              1.247428973277e-03
   29.85              1.094648637579e-03
   30.35              9.469022503387e-04
   30.85              8.039450490709e-04
   31.35              6.655478861211e-04
   31.85              5.314960030127e-04
   32.35              4.015879184547e-04
   32.85              2.756344179016e-04
   33.35              1.534576340068e-04
   33.85              3.489020857261e-05
