# header:
#   title: bremsstrahlung for E-incident 26 MeV
# datablock:
#   columns: 2
#   entries: 52
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              8.122075858227e-01
    0.85              3.279191502903e-01
    1.35              2.023628892263e-01
    1.85              1.446748773861e-01
    2.35              1.115349556907e-01
    2.85              9.002307669544e-02
    3.35              7.493265411666e-02
    3.85              6.376182181808e-02
    4.35              5.515899694447e-02
    4.85              4.832995039531e-02
    5.35              4.277736114506e-02
    5.85              3.817393245041e-02
    6.35              3.429545315649e-02
    6.85              3.098317521934e-02
    7.35              2.812154734167e-02
    7.85              2.562445804715e-02
    8.35              2.342642136275e-02
    8.85              2.147675040539e-02
    9.35              1.973560040605e-02
    9.85              1.817121690410e-02
   10.35              1.675798156659e-02
   10.85              1.547499833392e-02
   11.35              1.430505327152e-02
   11.85              1.323383775026e-02
   12.35              1.224936032789e-02
   12.85              1.134149593449e-02
   13.35              1.050163636457e-02
   13.85              9.722416474792e-03
   14.35              8.997497622626e-03
   14.85              8.321394854780e-03
   15.35              7.689337869857e-03
   15.85              7.097158297231e-03
   16.35              6.541197658711e-03
   16.85              6.018231716839e-03
   17.35              5.525407904182e-03
   17.85              5.060193268704e-03
   18.35              4.620330929437e-03
   18.85              4.203803462280e-03
   19.35              3.808801962419e-03
   19.85              3.433699782449e-03
   20.35              3.077030142036e-03
   20.85              2.737466959196e-03
   21.35              2.413808375084e-03
   21.85              2.104962540817e-03
   22.35              1.809935312111e-03
   22.85              1.527819559496e-03
   23.35              1.257785851961e-03
   23.85              9.990743124574e-04
   24.35              7.509874768345e-04
   24.85              5.128840148786e-04
   25.35              2.841731944199e-04
   25.85              6.430998790547e-05
