# header:
#   title: bremsstrahlung for E-incident 198 MeV
# datablock:
#   columns: 2
#   entries: 396
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              5.196091251915e-01
    0.85              2.134154471572e-01
    1.35              1.340319010001e-01
    1.85              9.755837979285e-02
    2.35              7.660550590782e-02
    2.85              6.300451759648e-02
    3.35              5.346352579598e-02
    3.85              4.640071368393e-02
    4.35              4.096153654017e-02
    4.85              3.664383921986e-02
    5.35              3.313318812765e-02
    5.85              3.022264833325e-02
    6.35              2.777046126238e-02
    6.85              2.567625770550e-02
    7.35              2.386697980262e-02
    7.85              2.228818316126e-02
    8.35              2.089846396197e-02
    8.85              1.966577518068e-02
    9.35              1.856492477172e-02
    9.85              1.757583582561e-02
   10.35              1.668231102887e-02
   10.85              1.587113874796e-02
   11.35              1.513143539048e-02
   11.85              1.445415425726e-02
   12.35              1.383171370163e-02
   12.85              1.325771209975e-02
   13.35              1.272670687254e-02
   13.85              1.223404137292e-02
   14.35              1.177570796387e-02
   14.85              1.134823875745e-02
   15.35              1.094861770780e-02
   15.85              1.057420934267e-02
   16.35              1.022270057174e-02
   16.85              9.892052855459e-03
   17.35              9.580462644442e-03
   17.85              9.286328467656e-03
   18.35              9.008223401321e-03
   18.85              8.744871919408e-03
   19.35              8.495130333200e-03
   19.85              8.257970187104e-03
   20.35              8.032464102241e-03
   20.85              7.817773656940e-03
   21.35              7.613138970201e-03
   21.85              7.417869715349e-03
   22.35              7.231337339909e-03
   22.85              7.052968306939e-03
   23.35              6.882238204717e-03
   23.85              6.718666597347e-03
   24.35              6.561812509787e-03
   24.85              6.411270457944e-03
   25.35              6.266666948580e-03
   25.85              6.127657385420e-03
   26.35              5.993923327502e-03
   26.85              5.865170053865e-03
   27.35              5.741124395352e-03
   27.85              5.621532799980e-03
   28.35              5.506159603035e-03
   28.85              5.394785477041e-03
   29.35              5.287206040178e-03
   29.85              5.183230604550e-03
   30.35              5.082681048185e-03
