# header:
#   title: bremsstrahlung for E-incident 57 MeV
# datablock:
#   columns: 2
#   entries: 114
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              6.684450085251e-01
    0.85              2.728127413954e-01
    1.35              1.702414128802e-01
    1.85              1.231140457246e-01
    2.35              9.604087735866e-02
    2.85              7.846706631407e-02
    3.35              6.613916901414e-02
    3.85              5.701332296094e-02
    4.35              4.998537255216e-02
    4.85              4.440648408333e-02
    5.35              3.987037850587e-02
    5.85              3.610967559123e-02
    6.35              3.294120935605e-02
    6.85              3.023529293623e-02
    7.35              2.789752841027e-02
    7.85              2.585756828251e-02
    8.35              2.406191475688e-02
    8.85              2.246915993472e-02
    9.35              2.104675322187e-02
    9.85              1.976875328190e-02
   10.35              1.861423159701e-02
   10.85              1.756611744067e-02
   11.35              1.661034814392e-02
   11.85              1.573523448403e-02
   12.35              1.493098022980e-02
   12.85              1.418931385528e-02
   13.35              1.350320301443e-02
   13.85              1.286663086244e-02
   14.35              1.227441913917e-02
   14.85              1.172208699322e-02
   15.35              1.120573739750e-02
   15.85              1.072196506334e-02
   16.35              1.026778125114e-02
   16.85              9.840551967859e-03
   17.35              9.437946850760e-03
   17.85              9.057896642182e-03
   18.35              8.698557616632e-03
   18.85              8.358281669362e-03
   19.35              8.035591042363e-03
   19.85              7.729156870125e-03
   20.35              7.437780888170e-03
   20.85              7.160379773454e-03
   21.35              6.895971685188e-03
   21.85              6.643664653594e-03
   22.35              6.402646527217e-03
   22.85              6.172176240068e-03
   23.35              5.951576200763e-03
   23.85              5.740225638997e-03
   24.35              5.537554771759e-03
   24.85              5.343039673827e-03
   25.35              5.156197755300e-03
   25.85              4.976583763989e-03
   26.35              4.803786242937e-03
   26.85              4.637424383748e-03
   27.35              4.477145225079e-03
   27.85              4.322621152897e-03
   28.35              4.173547665271e-03
   28.85              4.029641369591e-03
   29.35              3.890638184496e-03
   29.85              3.756291722520e-03
   30.35              3.626371832602e-03
   30.85              3.500663284335e-03
   31.35              3.378964578118e-03
   31.85              3.261086867386e-03
   32.35              3.146852980789e-03
   32.85              3.036096533662e-03
   33.35              2.928661119432e-03
   33.85              2.824399572683e-03
   34.35              2.723173296581e-03
   34.85              2.624851648202e-03
   35.35              2.529311376014e-03
   35.85              2.436436104445e-03
   36.35              2.346115860980e-03
   36.85              2.258246641760e-03
   37.35              2.172730012079e-03
   37.85              2.089472738531e-03
   38.35              2.008386449952e-03
   38.85              1.929387324528e-03
   39.35              1.852395800767e-03
   39.85              1.777336310224e-03
   40.35              1.704137030104e-03
   40.85              1.632729654026e-03
   41.35              1.563049179425e-03
   41.85              1.495033710191e-03
   42.35              1.428624273288e-03
   42.85              1.363764648215e-03
   43.35              1.300401208265e-03
   43.85              1.238482772646e-03
   44.35              1.177960468609e-03
   44.85              1.118787602788e-03
   45.35              1.060919541065e-03
   45.85              1.004313596283e-03
   46.35              9.489289232327e-04
   46.85              8.947264203649e-04
   47.35              8.416686377267e-04
   47.85              7.897196906712e-04
   48.35              7.388451789220e-04
   48.85              6.890121106068e-04
   49.35              6.401888309099e-04
   49.85              5.923449550183e-04
   50.35              5.454513050631e-04
   50.85              4.994798507805e-04
   51.35              4.544036536407e-04
   51.85              4.101968142085e-04
   52.35              3.668344225209e-04
   52.85              3.242925112816e-04
   53.35              2.825480116868e-04
   53.85              2.415787117132e-04
   54.35              2.013632167068e-04
   54.85              1.618809121290e-04
   55.35              1.231119283205e-04
   55.85              8.503710715844e-05
   56.35              4.763797048909e-05
   56.85              1.089669022553e-05
