# header:
#   title: bremsstrahlung for E-incident 178 MeV
# datablock:
#   columns: 2
#   entries: 356
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              5.297638590848e-01
    0.85              2.175241050506e-01
    1.35              1.365730577084e-01
    1.85              9.937933325389e-02
    2.35              7.801272558853e-02
    2.85              6.414317324435e-02
    3.35              5.441378577902e-02
    3.85              4.721151194106e-02
    4.35              4.166493323826e-02
    4.85              3.726197901026e-02
    5.35              3.368200688095e-02
    5.85              3.071399579939e-02
    6.35              2.821338803776e-02
    6.85              2.607783250411e-02
    7.35              2.423282874374e-02
    7.85              2.262285730953e-02
    8.35              2.120569682553e-02
    8.85              1.994866746966e-02
    9.35              1.882607975613e-02
    9.85              1.781746033839e-02
   10.35              1.690629207213e-02
   10.85              1.607910244791e-02
   11.35              1.532479296680e-02
   11.85              1.463413829422e-02
   12.35              1.399940707691e-02
   12.85              1.341407128508e-02
   13.35              1.287258087090e-02
   13.85              1.237018723754e-02
   14.35              1.190280361347e-02
   14.85              1.146689363411e-02
   15.35              1.105938169902e-02
   15.85              1.067758029611e-02
   16.35              1.031913066095e-02
   16.85              9.981954001184e-03
   17.35              9.664211154657e-03
   17.85              9.364269027823e-03
   18.35              9.080672520980e-03
   18.85              8.812120921662e-03
   19.35              8.557447957967e-03
   19.85              8.315604866499e-03
   20.35              8.085645956430e-03
   20.85              7.866716250680e-03
   21.35              7.658040863702e-03
   21.85              7.458915837683e-03
   22.35              7.268700208802e-03
   22.85              7.086809115101e-03
   23.35              6.912707789867e-03
   23.85              6.745906310555e-03
   24.35              6.585954994665e-03
   24.85              6.432440351446e-03
   25.35              6.284981512693e-03
   25.85              6.143227077760e-03
   26.35              6.006852317778e-03
   26.85              5.875556692245e-03
   27.35              5.749061638030e-03
   27.85              5.627108596534e-03
   28.35              5.509457249623e-03
   28.85              5.395883939000e-03
   29.35              5.286180247138e-03
   29.85              5.180151720832e-03
   30.35              5.077616720929e-03
   30.85              4.978405383907e-03
   31.35              4.882358682835e-03
   31.85              4.789327576773e-03
   32.35              4.699172239059e-03
   32.85              4.611761356070e-03
   33.35              4.526971489062e-03
   33.85              4.444686492572e-03
   34.35              4.364796983607e-03
   34.85              4.287199856535e-03
   35.35              4.211797839140e-03
   35.85              4.138499085828e-03
   36.35              4.067216804409e-03
   36.85              3.997868913260e-03
   37.35              3.930377726023e-03
   37.85              3.864669661303e-03
   38.35              3.800674975063e-03
   38.85              3.738327513693e-03
   39.35              3.677564485904e-03
   39.85              3.618326251786e-03
   40.35              3.560556127559e-03
   40.85              3.504200204660e-03
   41.35              3.449207181952e-03
   41.85              3.395528209965e-03
   42.35              3.343116746172e-03
   42.85              3.291928420390e-03
   43.35              3.241920909506e-03
   43.85              3.193053820762e-03
   44.35              3.145288582948e-03
   44.85              3.098588344863e-03
   45.35              3.052917880495e-03
   45.85              3.008243500410e-03
   46.35              2.964532968870e-03
   46.85              2.921755426264e-03
   47.35              2.879881316448e-03
   47.85              2.838882318645e-03
   48.35              2.798731283567e-03
   48.85              2.759402173466e-03
   49.35              2.720870005819e-03
   49.85              2.683110800411e-03
   50.35              2.646101529570e-03
