# header:
#   title: bremsstrahlung for E-incident 175 MeV
# datablock:
#   columns: 2
#   entries: 350
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              5.314207919440e-01
    0.85              2.181938722552e-01
    1.35              1.369868930766e-01
    1.85              9.967557831891e-02
    2.35              7.824141877724e-02
    2.85              6.432801696949e-02
    3.35              5.456786943271e-02
    3.85              4.734282515223e-02
    4.35              4.177871059141e-02
    4.85              3.736183614622e-02
    5.35              3.377054570947e-02
    5.85              3.079315107388e-02
    6.35              2.828463748327e-02
    6.85              2.614233025624e-02
    7.35              2.429149340025e-02
    7.85              2.267643193992e-02
    8.35              2.125479101376e-02
    8.85              1.999378748038e-02
    9.35              1.886765063507e-02
    9.85              1.785584240350e-02
   10.35              1.694179342135e-02
   10.85              1.611198858502e-02
   11.35              1.535529430696e-02
   11.85              1.466245608612e-02
   12.35              1.402571812608e-02
   12.85              1.343853175826e-02
   13.35              1.289532938803e-02
   13.85              1.239134740554e-02
   14.35              1.192248611869e-02
   14.85              1.148519798247e-02
   15.35              1.107639767272e-02
   15.85              1.069338918062e-02
   16.35              1.033380628436e-02
   16.85              9.995563619339e-03
   17.35              9.676816208783e-03
   17.85              9.375925796018e-03
   18.35              9.091432680951e-03
   18.85              8.822032038832e-03
   19.35              8.566553910517e-03
   19.85              8.323946216878e-03
   20.35              8.093260277227e-03
   20.85              7.873638411419e-03
   21.35              7.664303284057e-03
   21.85              7.464548711723e-03
   22.35              7.273731704147e-03
   22.85              7.091265550294e-03
   23.35              6.916613792751e-03
   23.85              6.749284960053e-03
   24.35              6.588827948000e-03
   24.85              6.434827958564e-03
   25.35              6.286902919402e-03
   25.85              6.144700318893e-03
   26.35              6.007894401515e-03
   26.85              5.876183676590e-03
   27.35              5.749288700291e-03
   27.85              5.626950096571e-03
   28.35              5.508926787514e-03
   28.85              5.394994407714e-03
   29.35              5.284943880718e-03
   29.85              5.178580138547e-03
   30.35              5.075720967781e-03
   30.85              4.976195967866e-03
   31.35              4.879845609097e-03
   31.85              4.786520379332e-03
   32.35              4.696080009838e-03
   32.85              4.608392771835e-03
   33.35              4.523334836321e-03
   33.85              4.440789690631e-03
   34.35              4.360647605950e-03
   34.85              4.282805150672e-03
   35.35              4.207164745048e-03
   35.85              4.133634253109e-03
   36.35              4.062126608267e-03
   36.85              3.992559469390e-03
   37.35              3.924854904513e-03
   37.85              3.858939099606e-03
   38.35              3.794742090133e-03
   38.85              3.732197513337e-03
   39.35              3.671242379407e-03
   39.85              3.611816859879e-03
   40.35              3.553864091765e-03
   40.85              3.497329996065e-03
   41.35              3.442163109451e-03
   41.85              3.388314428012e-03
   42.35              3.335737262074e-03
   42.85              3.284387101175e-03
   43.35              3.234221488394e-03
   43.85              3.185199903271e-03
   44.35              3.137283652648e-03
   44.85              3.090435768818e-03
   45.35              3.044620914399e-03
   45.85              2.999805293447e-03
   46.35              2.955956568308e-03
   46.85              2.913043781806e-03
   47.35              2.871037284353e-03
   47.85              2.829908665636e-03
   48.35              2.789630690531e-03
   48.85              2.750177238971e-03
   49.35              2.711523249448e-03
   49.85              2.673644665933e-03
   50.35              2.636518387950e-03
   50.85              2.600122223596e-03
   51.35              2.564434845304e-03
   51.85              2.529435748175e-03
   52.35              2.495105210686e-03
   52.85              2.461424257634e-03
   53.35              2.428374625164e-03
   53.85              2.395938727744e-03
   54.35              2.364099626965e-03
   54.85              2.332841002043e-03
   55.35              2.302147121926e-03
   55.85              2.272002818892e-03
   56.35              2.242393463561e-03
   56.85              2.213304941217e-03
   57.35              2.184723629376e-03
   57.85              2.156636376512e-03
   58.35              2.129030481881e-03
   58.85              2.101893676369e-03
   59.35              2.075214104310e-03
   59.85              2.048980306222e-03
   60.35              2.023181202384e-03
   60.85              1.997806077246e-03
   61.35              1.972844564579e-03
   61.85              1.948286633363e-03
   62.35              1.924122574338e-03
   62.85              1.900342987216e-03
   63.35              1.876938768478e-03
   63.85              1.853901099759e-03
   64.35              1.831221436770e-03
   64.85              1.808891498730e-03
   65.35              1.786903258289e-03
   65.85              1.765248931901e-03
   66.35              1.743920970644e-03
   66.85              1.722912051440e-03
   67.35              1.702215068675e-03
   67.85              1.681823126188e-03
   68.35              1.661729529603e-03
   68.85              1.641927779011e-03
   69.35              1.622411561953e-03
   69.85              1.603174746714e-03
   70.35              1.584211375899e-03
   70.85              1.565515660282e-03
   71.35              1.547081972916e-03
   71.85              1.528904843480e-03
   72.35              1.510978952876e-03
   72.85              1.493299128032e-03
   73.35              1.475860336928e-03
   73.85              1.458657683821e-03
   74.35              1.441686404663e-03
   74.85              1.424941862702e-03
   75.35              1.408419544257e-03
   75.85              1.392115054664e-03
   76.35              1.376024114379e-03
   76.85              1.360142555229e-03
   77.35              1.344466316818e-03
   77.85              1.328991443062e-03
   78.35              1.313714078863e-03
   78.85              1.298630466905e-03
   79.35              1.283736944575e-03
   79.85              1.269029940996e-03
   80.35              1.254505974176e-03
   80.85              1.240161648257e-03
   81.35              1.225993650868e-03
   81.85              1.211998750576e-03
   82.35              1.198173794428e-03
   82.85              1.184515705585e-03
   83.35              1.171021481034e-03
   83.85              1.157688189395e-03
   84.35              1.144512968788e-03
   84.85              1.131493024794e-03
   85.35              1.118625628475e-03
   85.85              1.105908114466e-03
   86.35              1.093337879136e-03
   86.85              1.080912378813e-03
   87.35              1.068629128065e-03
   87.85              1.056485698042e-03
   88.35              1.044479714878e-03
   88.85              1.032608858143e-03
   89.35              1.020870859346e-03
   89.85              1.009263500491e-03
   90.35              9.977846126799e-04
   90.85              9.864320747623e-04
   91.35              9.752038120272e-04
   91.85              9.640977949398e-04
   92.35              9.531120379182e-04
   92.85              9.422445981505e-04
   93.35              9.314935744489e-04
   93.85              9.208571061410e-04
   94.35              9.103333719964e-04
   94.85              8.999205891870e-04
   95.35              8.896170122802e-04
   95.85              8.794209322634e-04
   96.35              8.693306755992e-04
   96.85              8.593446033093e-04
   97.35              8.494611100877e-04
   97.85              8.396786234396e-04
   98.35              8.299956028479e-04
   98.85              8.204105389643e-04
   99.35              8.109219528249e-04
   99.85              8.015283950895e-04
  100.35              7.922284453035e-04
  100.85              7.830207111824e-04
  101.35              7.739038279158e-04
  101.85              7.648764574943e-04
  102.35              7.559372880540e-04
  102.85              7.470850332412e-04
  103.35              7.383184315954e-04
  103.85              7.296362459501e-04
  104.35              7.210372628504e-04
  104.85              7.125202919883e-04
  105.35              7.040841656526e-04
  105.85              6.957277381959e-04
