# header:
#   title: bremsstrahlung for E-incident 197 MeV
# datablock:
#   columns: 2
#   entries: 394
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              5.200833605923e-01
    0.85              2.136074716984e-01
    1.35              1.341507597629e-01
    1.85              9.764362184662e-02
    2.35              7.667143623513e-02
    2.85              6.305791224171e-02
    3.35              5.350812675379e-02
    3.85              4.643880502896e-02
    4.35              4.099461473513e-02
    4.85              3.667293790395e-02
    5.35              3.315905113466e-02
    5.85              3.024582877039e-02
    6.35              2.779138158159e-02
    6.85              2.569524785101e-02
    7.35              2.388430238309e-02
    7.85              2.230405060535e-02
    8.35              2.091305053753e-02
    8.85              1.967922561861e-02
    9.35              1.857736058406e-02
    9.85              1.758736002003e-02
   10.35              1.669301168441e-02
   10.85              1.588109176681e-02
   11.35              1.514070664372e-02
   11.85              1.446280127785e-02
   12.35              1.383978703473e-02
   12.85              1.326525639029e-02
   13.35              1.273376174918e-02
   13.85              1.224064217240e-02
   14.35              1.178188632921e-02
   14.85              1.135402313538e-02
   15.35              1.095403376526e-02
   15.85              1.057928031754e-02
   16.35              1.022744756999e-02
   16.85              9.896495104196e-03
   17.35              9.584617708473e-03
   17.85              9.290212435761e-03
   18.35              9.011851047119e-03
   18.85              8.748256840900e-03
   19.35              8.498285074278e-03
   19.85              8.260906343757e-03
   20.35              8.035192415720e-03
   20.85              7.820304095742e-03
   21.35              7.615480802460e-03
   21.85              7.420031572945e-03
   22.35              7.233327275399e-03
   22.85              7.054793844266e-03
   23.35              6.883906384488e-03
   23.85              6.720184017363e-03
   24.35              6.563185361414e-03
   24.85              6.412504558822e-03
   25.35              6.267767772112e-03
   25.85              6.128630087403e-03
   26.35              5.994772770235e-03
   26.85              5.865900828007e-03
   27.35              5.741740839792e-03
   27.85              5.622039019915e-03
   28.35              5.506559486453e-03
   28.85              5.395082709784e-03
   29.35              5.287404119713e-03
   29.85              5.183332852593e-03
   30.35              5.082690622280e-03
   30.85              4.985310700892e-03
   31.35              4.891036997092e-03
   31.85              4.799723221198e-03
   32.35              4.711232127711e-03
   32.85              4.625434827025e-03
   33.35              4.542210159043e-03
   33.85              4.461444122316e-03
   34.35              4.383029353034e-03
   34.85              4.306864648868e-03
   35.35              4.232854533221e-03
   35.85              4.160908855946e-03
   36.35              4.090942427015e-03
   36.85              4.022874680008e-03
   37.35              3.956629362640e-03
   37.85              3.892134251808e-03
   38.35              3.829320890932e-03
   38.85              3.768124347582e-03
   39.35              3.708482989577e-03
   39.85              3.650338277947e-03
   40.35              3.593634575279e-03
   40.85              3.538318968147e-03
   41.35              3.484341102422e-03
   41.85              3.431653030381e-03
   42.35              3.380209068660e-03
   42.85              3.329965666139e-03
   43.35              3.280881280978e-03
   43.85              3.232916266059e-03
   44.35              3.186032762188e-03
   44.85              3.140194598424e-03
   45.35              3.095367199022e-03
   45.85              3.051517496444e-03
   46.35              3.008613850017e-03
   46.85              2.966625969789e-03
   47.35              2.925524845215e-03
   47.85              2.885282678312e-03
   48.35              2.845872820963e-03
   48.85              2.807269716067e-03
   49.35              2.769448842273e-03
   49.85              2.732386662036e-03
   50.35              2.696060572767e-03
   50.85              2.660448860868e-03
   51.35              2.625530658450e-03
   51.85              2.591285902560e-03
   52.35              2.557695296735e-03
   52.85              2.524740274747e-03
   53.35              2.492402966386e-03
   53.85              2.460666165144e-03
   54.35              2.429513297688e-03
   54.85              2.398928394998e-03
   55.35              2.368896065076e-03
   55.85              2.339401467113e-03
   56.35              2.310430287038e-03
   56.85              2.281968714352e-03
   57.35              2.254003420178e-03
   57.85              2.226521536448e-03
   58.35              2.199510636158e-03
   58.85              2.172958714633e-03
   59.35              2.146854171735e-03
   59.85              2.121185794967e-03
   60.35              2.095942743415e-03
   60.85              2.071114532480e-03
