# header:
#   title: bremsstrahlung for E-incident 132 MeV
# datablock:
#   columns: 2
#   entries: 264
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              5.604599609290e-01
    0.85              2.299011492732e-01
    1.35              1.442007166217e-01
    1.85              1.048248421602e-01
    2.35              8.220465895889e-02
    2.85              6.752138214402e-02
    3.35              5.722117303508e-02
    3.85              4.959634291548e-02
    4.35              4.372434730613e-02
    4.85              3.906307244097e-02
    5.35              3.527306390575e-02
    5.85              3.213092007741e-02
    6.35              2.948360204880e-02
    6.85              2.722275380540e-02
    7.35              2.526950396245e-02
    7.85              2.356507575555e-02
    8.35              2.206477068720e-02
    8.85              2.073399161528e-02
    9.35              1.954554185586e-02
    9.85              1.847774689435e-02
   10.35              1.751312052816e-02
   10.85              1.663739981783e-02
   11.35              1.583883511723e-02
   11.85              1.510765984284e-02
   12.35              1.443568904410e-02
   12.85              1.381601169274e-02
   13.35              1.324275212051e-02
   13.85              1.271088313111e-02
   14.35              1.221607818278e-02
   14.85              1.175459343300e-02
   15.35              1.132317283629e-02
   15.85              1.091897120468e-02
   16.35              1.053949138539e-02
   16.85              1.018253262363e-02
   17.35              9.846147853908e-03
   17.85              9.528608169320e-03
   18.35              9.228373099697e-03
   18.85              8.944065619973e-03
   19.35              8.674451033259e-03
   19.85              8.418419045371e-03
   20.35              8.174968481950e-03
   20.85              7.943194204544e-03
   21.35              7.722275865190e-03
   21.85              7.511468204983e-03
   22.35              7.310092654852e-03
   22.85              7.117530039081e-03
   23.35              6.933214216277e-03
   23.85              6.756626520215e-03
   24.35              6.587290885593e-03
   24.85              6.424769562224e-03
   25.35              6.268659336423e-03
   25.85              6.118588190924e-03
   26.35              5.974212345065e-03
   26.85              5.835213625680e-03
   27.35              5.701297126383e-03
   27.85              5.572189118982e-03
   28.35              5.447635185916e-03
   28.85              5.327398546890e-03
   29.35              5.211258556553e-03
   29.85              5.099009353162e-03
   30.35              4.990458640822e-03
   30.85              4.885426590147e-03
   31.35              4.783744844118e-03
   31.85              4.685255617587e-03
   32.35              4.589810880285e-03
   32.85              4.497271614438e-03
   33.35              4.407507139171e-03
   33.85              4.320394494783e-03
   34.35              4.235817880800e-03
   34.85              4.153668142397e-03
   35.35              4.073842300413e-03
   35.85              3.996243120688e-03
   36.35              3.920778718947e-03
   36.85              3.847362197850e-03
   37.35              3.775911313195e-03
   37.85              3.706348166576e-03
   38.35              3.638598922085e-03
   38.85              3.572593544892e-03
   39.35              3.508265559749e-03
   39.85              3.445551827683e-03
   40.35              3.384392339287e-03
   40.85              3.324730023190e-03
   41.35              3.266510568425e-03
   41.85              3.209682259532e-03
   42.35              3.154195823341e-03
   42.85              3.100004286477e-03
   43.35              3.047062842736e-03
   43.85              2.995328729525e-03
   44.35              2.944761112666e-03
   44.85              2.895320978903e-03
   45.35              2.846971035521e-03
   45.85              2.799675616531e-03
   46.35              2.753400594930e-03
   46.85              2.708113300578e-03
   47.35              2.663782443276e-03
   47.85              2.620378040673e-03
   48.35              2.577871350636e-03
   48.85              2.536234807785e-03
   49.35              2.495441963878e-03
   49.85              2.455467431784e-03
   50.35              2.416286832801e-03
   50.85              2.377876747071e-03
   51.35              2.340214666906e-03
   51.85              2.303278952800e-03
   52.35              2.267048791972e-03
   52.85              2.231504159259e-03
   53.35              2.196625780204e-03
   53.85              2.162395096211e-03
   54.35              2.128794231610e-03
   54.85              2.095805962536e-03
   55.35              2.063413687482e-03
   55.85              2.031601399449e-03
   56.35              2.000353659561e-03
   56.85              1.969655572090e-03
   57.35              1.939492760774e-03
   57.85              1.909851346369e-03
   58.35              1.880717925356e-03
   58.85              1.852079549730e-03
   59.35              1.823923707812e-03
   59.85              1.796238306027e-03
   60.35              1.769011651579e-03
   60.85              1.742232435988e-03
   61.35              1.715889719428e-03
   61.85              1.689972915828e-03
   62.35              1.664471778685e-03
   62.85              1.639376387559e-03
   63.35              1.614677135204e-03
   63.85              1.590364715305e-03
   64.35              1.566430110789e-03
   64.85              1.542864582673e-03
   65.35              1.519659659425e-03
   65.85              1.496807126811e-03
   66.35              1.474299018200e-03
   66.85              1.452127605305e-03
   67.35              1.430285389334e-03
   67.85              1.408765092538e-03
   68.35              1.387559650121e-03
   68.85              1.366662202511e-03
   69.35              1.346066087959e-03
   69.85              1.325764835462e-03
   70.35              1.305752157982e-03
   70.85              1.286021945958e-03
   71.35              1.266568261082e-03
   71.85              1.247385330344e-03
   72.35              1.228467540322e-03
   72.85              1.209809431700e-03
   73.35              1.191405694021e-03
   73.85              1.173251160643e-03
   74.35              1.155340803908e-03
