# header:
#   title: bremsstrahlung for E-incident 59 MeV
# datablock:
#   columns: 2
#   entries: 118
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              6.632332120931e-01
    0.85              2.707678441226e-01
    1.35              1.690175635377e-01
    1.85              1.222674346203e-01
    2.35              9.541097758267e-02
    2.85              7.797783880384e-02
    3.35              6.574862204854e-02
    3.85              5.669582522969e-02
    4.35              4.972413112781e-02
    4.85              4.418989972735e-02
    5.35              3.969010410268e-02
    5.85              3.595950431128e-02
    6.35              3.281640055003e-02
    6.85              3.013214405319e-02
    7.35              2.781309252191e-02
    7.85              2.578946156786e-02
    8.35              2.400818162627e-02
    8.85              2.242817625435e-02
    9.35              2.101715541419e-02
    9.85              1.974938542075e-02
   10.35              1.860410528175e-02
   10.85              1.756438091592e-02
   11.35              1.661626222109e-02
   11.85              1.574815354271e-02
   12.35              1.495033706500e-02
   12.85              1.421460747272e-02
   13.35              1.353398871132e-02
   13.85              1.290251209876e-02
   14.35              1.231504082505e-02
   14.85              1.176712990647e-02
   15.35              1.125491351028e-02
   15.85              1.077501360596e-02
   16.35              1.032446537775e-02
   16.85              9.900655916785e-03
   17.35              9.501273514093e-03
   17.85              9.124265475697e-03
   18.35              8.767802834488e-03
   18.85              8.430250678225e-03
   19.35              8.110143077840e-03
   19.85              7.806161804931e-03
   20.35              7.517118186710e-03
   20.85              7.241937571762e-03
   21.35              6.979645978590e-03
   21.85              6.729358577326e-03
   22.35              6.490269717506e-03
   22.85              6.261644265117e-03
   23.35              6.042810052660e-03
   23.85              5.833151278880e-03
   24.35              5.632102721682e-03
   24.85              5.439144649683e-03
   25.35              5.253798335949e-03
   25.85              5.075622092378e-03
   26.35              4.904207755584e-03
   26.85              4.739177565413e-03
   27.35              4.580181385850e-03
   27.85              4.426894225303e-03
   28.35              4.279014019272e-03
   28.85              4.136259643606e-03
   29.35              3.998369130824e-03
   29.85              3.865098065708e-03
   30.35              3.736218139474e-03
   30.85              3.611515844562e-03
   31.35              3.490791294303e-03
   31.85              3.373857153786e-03
   32.35              3.260537669853e-03
   32.85              3.150667789693e-03
   33.35              3.044092358713e-03
   33.85              2.940665389506e-03
   34.35              2.840249394656e-03
   34.85              2.742714776990e-03
   35.35              2.647939271564e-03
   35.85              2.555807434351e-03
   36.35              2.466210173126e-03
   36.85              2.379044316549e-03
   37.35              2.294212217844e-03
   37.85              2.211621389912e-03
   38.35              2.131184168966e-03
   38.85              2.052817404157e-03
   39.35              1.976442170856e-03
   39.85              1.901983505517e-03
   40.35              1.829370160261e-03
   40.85              1.758534375476e-03
   41.35              1.689411668921e-03
   41.85              1.621940639942e-03
   42.35              1.556062787562e-03
   42.85              1.491722341305e-03
   43.35              1.428866103727e-03
   43.85              1.367443303723e-03
   44.35              1.307405459751e-03
   44.85              1.248706252210e-03
   45.35              1.191301404262e-03
   45.85              1.135148570446e-03
   46.35              1.080207232506e-03
   46.85              1.026438601885e-03
   47.35              9.738055284051e-04
   47.85              9.222724146637e-04
   48.35              8.718051357463e-04
   48.85              8.223709638691e-04
   49.35              7.739384976025e-04
   49.85              7.264775953532e-04
   50.35              6.799593128109e-04
   50.85              6.343558440847e-04
   51.35              5.896404662781e-04
   51.85              5.457874872720e-04
   52.35              5.027721964991e-04
   52.85              4.605708185128e-04
   53.35              4.191604691673e-04
   53.85              3.785191142387e-04
   54.35              3.386255303298e-04
   54.85              2.994592679143e-04
   55.35              2.610006163826e-04
   55.85              2.232305709660e-04
   56.35              1.861308014219e-04
   56.85              1.496836223711e-04
   57.35              1.138719651870e-04
   57.85              7.867935134224e-05
   58.35              4.408986712636e-05
   58.85              1.008813965162e-05
