# header:
#   title: bremsstrahlung for E-incident 82 MeV
# datablock:
#   columns: 2
#   entries: 164
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              6.171430231873e-01
    0.85              2.525615751029e-01
    1.35              1.580404589328e-01
    1.85              1.146118379899e-01
    2.35              8.966348127792e-02
    2.85              7.346893393860e-02
    3.35              6.210857983489e-02
    3.85              5.369896705683e-02
    4.35              4.722259859556e-02
    4.85              4.208156383764e-02
    5.35              3.790147015597e-02
    5.85              3.443592240279e-02
    6.35              3.151613020129e-02
    6.85              2.902258503651e-02
    7.35              2.686829771728e-02
    7.85              2.498844190368e-02
    8.35              2.333371852285e-02
    8.85              2.186596953533e-02
    9.35              2.055519904915e-02
    9.85              1.937750170878e-02
   10.35              1.831359155105e-02
   10.85              1.734773762905e-02
   11.35              1.646698096891e-02
   11.85              1.566054976532e-02
   12.35              1.491941663489e-02
   12.85              1.423595923446e-02
   13.35              1.360369714492e-02
   13.85              1.301708574777e-02
   14.35              1.247135319362e-02
   14.85              1.196237030642e-02
   15.35              1.148654591350e-02
   15.85              1.104074198701e-02
   16.35              1.062220435572e-02
   16.85              1.022850575299e-02
   17.35              9.857498712379e-03
   17.85              9.507276379925e-03
   18.35              9.176139733164e-03
   18.85              8.862570017265e-03
   19.35              8.565205454642e-03
   19.85              8.282821474520e-03
   20.35              8.014313857057e-03
   20.85              7.758684302782e-03
   21.35              7.515028029737e-03
   21.85              7.282523073537e-03
   22.35              7.060421023654e-03
   22.85              6.848038975954e-03
   23.35              6.644752519162e-03
   23.85              6.449989603536e-03
   24.35              6.263225164937e-03
   24.85              6.083976397912e-03
   25.35              5.911798588166e-03
   25.85              5.746281428700e-03
   26.35              5.587045755361e-03
   26.85              5.433740647138e-03
   27.35              5.286040844517e-03
   27.85              5.143644445940e-03
   28.35              5.006270848019e-03
   28.85              4.873658899938e-03
   29.35              4.745565246511e-03
   29.85              4.621762837755e-03
   30.35              4.502039585795e-03
   30.85              4.386197152375e-03
   31.35              4.274049852398e-03
   31.85              4.165423660739e-03
   32.35              4.060155311173e-03
   32.85              3.958091477575e-03
   33.35              3.859088028792e-03
   33.85              3.763009349545e-03
   34.35              3.669727720640e-03
   34.85              3.579122752536e-03
   35.35              3.491080866981e-03
   35.85              3.405494822027e-03
   36.35              3.322263276246e-03
   36.85              3.241290388424e-03
   37.35              3.162485449406e-03
   37.85              3.085762543123e-03
   38.35              3.011040234136e-03
   38.85              2.938241279305e-03
   39.35              2.867292361446e-03
   39.85              2.798123843031e-03
   40.35              2.730669538207e-03
   40.85              2.664866501556e-03
   41.35              2.600654832175e-03
   41.85              2.537977491812e-03
   42.35              2.476780135873e-03
   42.85              2.417010956269e-03
   43.35              2.358620535133e-03
   43.85              2.301561708549e-03
   44.35              2.245789439499e-03
   44.85              2.191260699301e-03
   45.35              2.137934356903e-03
   45.85              2.085771075408e-03
   46.35              2.034733215304e-03
   46.85              1.984784743889e-03
   47.35              1.935891150435e-03
   47.85              1.888019366667e-03
   48.35              1.841137692180e-03
   48.85              1.795215724437e-03
   49.35              1.750224293023e-03
   49.85              1.706135397845e-03
   50.35              1.662922151032e-03
   50.85              1.620558722248e-03
   51.35              1.579020287210e-03
   51.85              1.538282979173e-03
   52.35              1.498323843209e-03
   52.85              1.459120793073e-03
   53.35              1.420652570492e-03
   53.85              1.382898706735e-03
   54.35              1.345839486284e-03
   54.85              1.309455912515e-03
   55.35              1.273729675218e-03
   55.85              1.238643119879e-03
   56.35              1.204179218582e-03
   56.85              1.170321542462e-03
   57.35              1.137054235586e-03
   57.85              1.104361990195e-03
   58.35              1.072230023216e-03
   58.85              1.040644053977e-03
   59.35              1.009590283040e-03
   59.85              9.790553721023e-04
   60.35              9.490264248917e-04
   60.85              9.194909690074e-04
   61.35              8.904369386470e-04
   61.85              8.618526581711e-04
   62.35              8.337268264598e-04
   62.85              8.060485020152e-04
   63.35              7.788070887695e-04
   63.85              7.519923225597e-04
   64.35              7.255942582335e-04
   64.85              6.996032573510e-04
   65.35              6.740099764515e-04
   65.85              6.488053558541e-04
   66.35              6.239806089658e-04
   66.85              5.995272120683e-04
   67.35              5.754368945606e-04
   67.85              5.517016296322e-04
   68.35              5.283136253465e-04
   68.85              5.052653161122e-04
   69.35              4.825493545236e-04
   69.85              4.601586035519e-04
   70.35              4.380861290688e-04
   70.85              4.163251926871e-04
   71.35              3.948692449021e-04
   71.85              3.737119185199e-04
   72.35              3.528470223572e-04
   72.85              3.322685352016e-04
   73.35              3.119706000180e-04
   73.85              2.919475183915e-04
   74.35              2.721937451930e-04
   74.85              2.527038834601e-04
   75.35              2.334726794808e-04
   75.85              2.144950180721e-04
   76.35              1.957659180440e-04
   76.85              1.772805278405e-04
   77.35              1.590341213501e-04
   77.85              1.410220938770e-04
   78.35              1.232399582669e-04
   78.85              1.056833411807e-04
   79.35              8.834797950837e-05
   79.85              7.122971691770e-05
   80.35              5.432450053226e-05
   80.85              3.762837773229e-05
   81.35              2.113749307369e-05
   81.85              4.848085319895e-06
