# header:
#   title: bremsstrahlung for E-incident 172 MeV
# datablock:
#   columns: 2
#   entries: 344
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              5.331167855984e-01
    0.85              2.188792395559e-01
    1.35              1.374102461375e-01
    1.85              9.997854645876e-02
    2.35              7.847522962204e-02
    2.85              6.451693623681e-02
    3.35              5.472529759343e-02
    3.85              4.747694171457e-02
    4.35              4.189487454349e-02
    4.85              3.746374905717e-02
    5.35              3.386087132530e-02
    5.85              3.087387012880e-02
    6.35              2.835726282151e-02
    6.85              2.620804344229e-02
    7.35              2.435123486296e-02
    7.85              2.273096240839e-02
    8.35              2.130473455916e-02
    8.85              2.003966239910e-02
    9.35              1.890989207435e-02
    9.85              1.789481924449e-02
   10.35              1.697782108419e-02
   10.85              1.614533888336e-02
   11.35              1.538620313194e-02
   11.85              1.469112946925e-02
   12.35              1.405233707479e-02
   12.85              1.346325615072e-02
   13.35              1.291830113857e-02
   13.85              1.241269305870e-02
   14.35              1.194231899137e-02
   14.85              1.150361994540e-02
   15.35              1.109350064184e-02
   15.85              1.070925637321e-02
   16.35              1.034851328309e-02
   16.85              1.000917927843e-02
   17.35              9.689403429663e-03
   17.85              9.387542194272e-03
   18.35              9.102131162444e-03
   18.85              8.831861299414e-03
   19.35              8.575558871165e-03
   19.85              8.332168404037e-03
   20.35              8.100738156424e-03
   20.85              7.880407680879e-03
   21.35              7.670397133931e-03
   21.85              7.469998053662e-03
   22.35              7.278565375195e-03
   22.85              7.095510494473e-03
   23.35              6.920295223204e-03
   23.85              6.752426504189e-03
   24.35              6.591451777741e-03
   24.85              6.436954907488e-03
   25.35              6.288552588331e-03
   25.85              6.145891171268e-03
   26.35              6.008643849730e-03
   26.85              5.876508160278e-03
   27.35              5.749203757461e-03
   27.85              5.626470428354e-03
   28.35              5.508066317205e-03
   28.85              5.393766334691e-03
   29.35              5.283360729777e-03
   29.85              5.176653805093e-03
   30.35              5.073462759313e-03
   30.85              4.973616642082e-03
