# header:
#   title: bremsstrahlung for E-incident 9 MeV
# datablock:
#   columns: 2
#   entries: 18
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              1.127922709407e+00
    0.85              4.375925914429e-01
    1.35              2.586181164151e-01
    1.85              1.763866008618e-01
    2.35              1.291472195865e-01
    2.85              9.848305981133e-02
    3.35              7.697238056604e-02
    3.85              6.104889073512e-02
    4.35              4.878597327912e-02
    4.85              3.905149241198e-02
    5.35              3.113654067889e-02
    5.85              2.457457214804e-02
    6.35              1.904598448819e-02
    6.85              1.432448991737e-02
    7.35              1.024537556026e-02
    7.85              6.685893605336e-03
    8.35              3.552696914473e-03
    8.85              7.735337480013e-04
