# header:
#   title: bremsstrahlung for E-incident 118 MeV
# datablock:
#   columns: 2
#   entries: 236
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              5.728806687169e-01
    0.85              2.348895239526e-01
    1.35              1.472621901248e-01
    1.85              1.070009826904e-01
    2.35              8.387220395146e-02
    2.85              6.885878617357e-02
    3.35              5.832698564282e-02
    3.85              5.053071771745e-02
    4.35              4.452669529217e-02
    4.85              3.976061563499e-02
    5.35              3.588539198849e-02
    5.85              3.267259973456e-02
    6.35              2.996575901668e-02
    6.85              2.765407752769e-02
    7.35              2.565691052700e-02
    7.85              2.391415970474e-02
    8.35              2.238012155580e-02
    8.85              2.101942105081e-02
    9.35              1.980425001160e-02
    9.85              1.871244659058e-02
   10.35              1.772613142280e-02
   10.85              1.683072087877e-02
   11.35              1.601420113158e-02
   11.85              1.526658600441e-02
   12.35              1.457950651506e-02
   12.85              1.394589624667e-02
   13.35              1.335974742161e-02
   13.85              1.281591981135e-02
   14.35              1.230998959554e-02
   14.85              1.183812875453e-02
   15.35              1.139700803345e-02
   15.85              1.098371827269e-02
   16.35              1.059570617315e-02
   16.85              1.023072149791e-02
   17.35              9.886773403369e-03
   17.85              9.562094109648e-03
   18.35              9.255108510407e-03
   18.85              8.964408619348e-03
   19.35              8.688731978474e-03
   19.85              8.426943329583e-03
   20.35              8.178018987762e-03
   20.85              7.941033463296e-03
   21.35              7.715147963394e-03
   21.85              7.499600472642e-03
   22.35              7.293697164920e-03
   22.85              7.096804942876e-03
   23.35              6.908344935909e-03
   23.85              6.727786816026e-03
   24.35              6.554643814003e-03
   24.85              6.388468337212e-03
   25.35              6.228848106054e-03
   25.85              6.075402738771e-03
   26.35              5.927780725084e-03
   26.85              5.785656737979e-03
   27.35              5.648729240346e-03
   27.85              5.516718349452e-03
   28.35              5.389363927371e-03
   28.85              5.266423870008e-03
   29.35              5.147672570987e-03
   29.85              5.032899539941e-03
   30.35              4.921908157363e-03
   30.85              4.814514550559e-03
   31.35              4.710546577145e-03
   31.85              4.609842904309e-03
   32.35              4.512252173446e-03
   32.85              4.417632241088e-03
   33.35              4.325849488111e-03
   33.85              4.236778190169e-03
   34.35              4.150299943115e-03
   34.85              4.066303137869e-03
   35.35              3.984682479872e-03
   35.85              3.905338548738e-03
   36.35              3.828177394250e-03
   36.85              3.753110165258e-03
   37.35              3.680052768367e-03
   37.85              3.608925553692e-03
   38.35              3.539653025189e-03
   38.85              3.472163573353e-03
   39.35              3.406389228297e-03
   39.85              3.342265431424e-03
   40.35              3.279730824064e-03
   40.85              3.218727051646e-03
   41.35              3.159198582068e-03
   41.85              3.101092537091e-03
   42.35              3.044358535679e-03
   42.85              2.988948548302e-03
   43.35              2.934816761326e-03
   43.85              2.881919450679e-03
   44.35              2.830214864059e-03
   44.85              2.779663111031e-03
   45.35              2.730226060386e-03
   45.85              2.681867244215e-03
   46.35              2.634551768199e-03
   46.85              2.588246227636e-03
   47.35              2.542918628796e-03
   47.85              2.498538315199e-03
   48.35              2.455075898470e-03
   48.85              2.412503193444e-03
   49.35              2.370793157214e-03
   49.85              2.329919831841e-03
   50.35              2.289858290487e-03
   50.85              2.250584586721e-03
   51.35              2.212075706787e-03
   51.85              2.174309524634e-03
   52.35              2.137264759523e-03
   52.85              2.100920936041e-03
   53.35              2.065258346364e-03
   53.85              2.030258014620e-03
   54.35              1.995901663220e-03
   54.85              1.962171681035e-03
   55.35              1.929051093289e-03
   55.85              1.896523533076e-03
   56.35              1.864573214393e-03
   56.85              1.833184906592e-03
   57.35              1.802343910175e-03
   57.85              1.772036033834e-03
   58.35              1.742247572683e-03
   58.85              1.712965287592e-03
   59.35              1.684176385569e-03
   59.85              1.655868501124e-03
   60.35              1.628029678559e-03
   60.85              1.600648355132e-03
   61.35              1.573713345045e-03
   61.85              1.547213824208e-03
   62.35              1.521139315734e-03
   62.85              1.495479676130e-03
   63.35              1.470225082139e-03
   63.85              1.445366018203e-03
   64.35              1.420893264507e-03
   64.85              1.396797885579e-03
   65.35              1.373071219411e-03
   65.85              1.349704867081e-03
   66.35              1.326690682834e-03
   66.85              1.304020764619e-03
   67.35              1.281687445041e-03
   67.85              1.259683282716e-03
   68.35              1.238001054002e-03
   68.85              1.216633745095e-03
   69.35              1.195574544464e-03
   69.85              1.174816835609e-03
   70.35              1.154354190136e-03
   70.85              1.134180361112e-03
   71.35              1.114289276714e-03
   71.85              1.094675034131e-03
   72.35              1.075331893726e-03
   72.85              1.056254273436e-03
   73.35              1.037436743402e-03
   73.85              1.018874020817e-03
   74.35              1.000560964977e-03
   74.85              9.824925725425e-04
   75.35              9.646639729735e-04
   75.85              9.470704241570e-04
   76.35              9.297073081998e-04
   76.85              9.125701273885e-04
   77.35              8.956545003046e-04
   77.85              8.789561580900e-04
   78.35              8.624709408559e-04
   78.85              8.461947942272e-04
   79.35              8.301237660184e-04
   79.85              8.142540030346e-04
   80.35              7.985817479908e-04
   80.85              7.831033365469e-04
   81.35              7.678151944507e-04
   81.85              7.527138347870e-04
   82.35              7.377958553256e-04
   82.85              7.230579359664e-04
   83.35              7.084968362756e-04
   83.85              6.941093931105e-04
   84.35              6.798925183292e-04
   84.85              6.658431965801e-04
   85.35              6.519584831701e-04
   85.85              6.382355020072e-04
   86.35              6.246714436140e-04
   86.85              6.112635632104e-04
   87.35              5.980091788618e-04
   87.85              5.849056696907e-04
   88.35              5.719504741491e-04
   88.85              5.591410883492e-04
   89.35              5.464750644497e-04
   89.85              5.339500090966e-04
   90.35              5.215635819157e-04
   90.85              5.093134940543e-04
   91.35              4.971975067716e-04
   91.85              4.852134300744e-04
   92.35              4.733591213978e-04
   92.85              4.616324843278e-04
   93.35              4.500314673657e-04
   93.85              4.385540627313e-04
   94.35              4.271983052049e-04
   94.85              4.159622710051e-04
   95.35              4.048440767025e-04
   95.85              3.938418781673e-04
   96.35              3.829538695495e-04
   96.85              3.721782822906e-04
   97.35              3.615133841663e-04
   97.85              3.509574783581e-04
   98.35              3.405089025531e-04
   98.85              3.301660280713e-04
   99.35              3.199272590196e-04
   99.85              3.097910314707e-04
  100.35              2.997558126666e-04
  100.85              2.898201002464e-04
  101.35              2.799824214958e-04
  101.85              2.702413326200e-04
  102.35              2.605954180371e-04
  102.85              2.510432896923e-04
  103.35              2.415835863919e-04
  103.85              2.322149731570e-04
  104.35              2.229361405951e-04
  104.85              2.137458042904e-04
  105.35              2.046427042108e-04
  105.85              1.956256041318e-04
  106.35              1.866932910776e-04
  106.85              1.778445747764e-04
  107.35              1.690782871319e-04
  107.85              1.603932817094e-04
  108.35              1.517884332359e-04
  108.85              1.432626371140e-04
  109.35              1.348148089493e-04
  109.85              1.264438840907e-04
  110.35              1.181488171827e-04
  110.85              1.099285817308e-04
  111.35              1.017821696777e-04
  111.85              9.370859099119e-05
  112.35              8.570687326316e-05
  112.85              7.777606131915e-05
  113.35              6.991521683827e-05
  113.85              6.212341798303e-05
  114.35              5.439975903908e-05
  114.85              4.674335006417e-05
  115.35              3.915331654634e-05
  115.85              3.162879907097e-05
  116.35              2.416895299632e-05
  116.85              1.677294813755e-05
  117.35              9.439968458662e-06
  117.85              2.169211772378e-06
