# header:
#   title: bremsstrahlung for E-incident 24 MeV
# datablock:
#   columns: 2
#   entries: 48
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              8.301649595112e-01
    0.85              3.346057248819e-01
    1.35              2.061274047929e-01
    1.85              1.470968252925e-01
    2.35              1.131856413242e-01
    2.85              9.117311839741e-02
    3.35              7.573149783682e-02
    3.85              6.430068781145e-02
    4.35              5.549765020571e-02
    4.85              4.850967190012e-02
    5.35              4.282785776380e-02
    5.85              3.811729390719e-02
    6.35              3.414855113036e-02
    6.85              3.075918686110e-02
    7.35              2.783096058766e-02
    7.85              2.527575676943e-02
    8.35              2.302656538452e-02
    8.85              2.103151991882e-02
    9.35              1.924984829971e-02
    9.85              1.764905704802e-02
   10.35              1.620293161775e-02
   10.85              1.489008963728e-02
   11.35              1.369291655376e-02
   11.85              1.259677073468e-02
   12.35              1.158938166208e-02
   12.85              1.066038862626e-02
   13.35              9.800983083760e-03
   13.85              9.003628482956e-03
   14.35              8.261838662695e-03
   14.85              7.570001018884e-03
   15.35              6.923234231346e-03
   15.85              6.317272919363e-03
   16.35              5.748373461324e-03
   16.85              5.213236582397e-03
   17.35              4.708943327616e-03
   17.85              4.232901795791e-03
   18.35              3.782802581777e-03
   18.85              3.356581310152e-03
   19.35              2.952386977628e-03
   19.85              2.568555079992e-03
   20.35              2.203584700667e-03
   20.85              1.856118895891e-03
   21.35              1.524927836069e-03
   21.85              1.208894261822e-03
   22.35              9.070008922394e-04
   22.85              6.183194863148e-04
   23.35              3.420013097660e-04
   23.85              7.726880099696e-05
