# header:
#   title: bremsstrahlung for E-incident 169 MeV
# datablock:
#   columns: 2
#   entries: 338
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              5.348534967918e-01
    0.85              2.195808613030e-01
    1.35              1.378435113615e-01
    1.85              1.002885127397e-01
    2.35              7.871436459525e-02
    2.85              6.471009299272e-02
    3.35              5.488620097304e-02
    3.85              4.761396921821e-02
    4.35              4.201351487829e-02
    4.85              3.756779339195e-02
    5.35              3.395304788437e-02
    5.85              3.095620759176e-02
    6.35              2.843131065232e-02
    6.85              2.627501180623e-02
    7.35              2.441208695280e-02
    7.85              2.278647736733e-02
    8.35              2.135555156455e-02
    8.85              2.008631229315e-02
    9.35              1.895282053741e-02
    9.85              1.793440408683e-02
   10.35              1.701438536093e-02
   10.85              1.617916098766e-02
   11.35              1.541752466489e-02
   11.85              1.472016144953e-02
   12.35              1.407926489128e-02
   12.85              1.348824355158e-02
   13.35              1.294149347327e-02
   13.85              1.243421993492e-02
   14.35              1.196229646892e-02
   14.85              1.152215236091e-02
   15.35              1.111068213615e-02
   15.85              1.072517217794e-02
   16.35              1.036324081045e-02
   16.85              1.002278904933e-02
   17.35              9.701959868105e-03
   17.85              9.399104310479e-03
   18.35              9.112753142915e-03
   18.85              8.841593018722e-03
   19.35              8.584446337640e-03
   19.85              8.340254149308e-03
   20.35              8.108061577110e-03
   20.85              7.887005339310e-03
   21.35              7.676303023655e-03
   21.85              7.475243834575e-03
   22.35              7.283180582367e-03
   22.85              7.099522724128e-03
   23.35              6.923730298790e-03
   23.85              6.755308625039e-03
   24.35              6.593803652468e-03
   24.85              6.438797873965e-03
   25.35              6.289906721833e-03
   25.85              6.146775382162e-03
   26.35              6.009075971890e-03
   26.85              5.876505031275e-03
   27.35              5.748781291414e-03
   27.85              5.625643682247e-03
   28.35              5.506849551359e-03
   28.85              5.392173067988e-03
   29.35              5.281403790183e-03
   29.85              5.174345375956e-03
   30.35              5.070814421836e-03
   30.85              4.970639414365e-03
   31.35              4.873659781932e-03
   31.85              4.779725035918e-03
   32.35              4.688693991482e-03
   32.85              4.600434059508e-03
   33.35              4.514820602257e-03
   33.85              4.431736346107e-03
   34.35              4.351070845593e-03
   34.85              4.272719993589e-03
   35.35              4.196585573041e-03
   35.85              4.122574846232e-03
   36.35              4.050600177932e-03
   36.85              3.980578689234e-03
   37.35              3.912431939189e-03
   37.85              3.846085631681e-03
   38.35              3.781469345229e-03
   38.85              3.718516283654e-03
   39.35              3.657163045753e-03
   39.85              3.597349412317e-03
   40.35              3.539018148978e-03
   40.85              3.482114823542e-03
   41.35              3.426587636568e-03
   41.85              3.372387264099e-03
   42.35              3.319466711522e-03
   42.85              3.267781177675e-03
   43.35              3.217287928346e-03
   43.85              3.167946178432e-03
   44.35              3.119716982067e-03
   44.85              3.072563130102e-03
   45.35              3.026449054366e-03
   45.85              2.981340738189e-03
   46.35              2.937205632716e-03
   46.85              2.894012578587e-03
   47.35              2.851731732571e-03
   47.85              2.810334498801e-03
   48.35              2.769793464283e-03
   48.85              2.730082338352e-03
   49.35              2.691175895824e-03
   49.85              2.653049923558e-03
   50.35              2.615681170204e-03
   50.85              2.579047298922e-03
   51.35              2.543126842856e-03
   51.85              2.507899163183e-03
   52.35              2.473344409580e-03
   52.85              2.439443482912e-03
   53.35              2.406178000044e-03
   53.85              2.373530260590e-03
   54.35              2.341483215514e-03
   54.85              2.310020437441e-03
   55.35              2.279126092575e-03
   55.85              2.248784914136e-03
   56.35              2.218982177194e-03
   56.85              2.189703674852e-03
   57.35              2.160935695654e-03
   57.85              2.132665002181e-03
   58.35              2.104878810739e-03
   58.85              2.077564772082e-03
   59.35              2.050710953116e-03
   59.85              2.024305819514e-03
   60.35              1.998338219193e-03
   60.85              1.972797366619e-03
   61.35              1.947672827859e-03
   61.85              1.922954506380e-03
   62.35              1.898632629511e-03
   62.85              1.874697735568e-03
   63.35              1.851140661577e-03
   63.85              1.827952531579e-03
   64.35              1.805124745481e-03
   64.85              1.782648968422e-03
   65.35              1.760517120621e-03
   65.85              1.738721367699e-03
   66.35              1.717254111431e-03
   66.85              1.696107980910e-03
   67.35              1.675275824117e-03
   67.85              1.654750699848e-03
   68.35              1.634525870009e-03
   68.85              1.614594792238e-03
   69.35              1.594951112848e-03
   69.85              1.575588660078e-03
   70.35              1.556501437624e-03
   70.85              1.537683618451e-03
   71.35              1.519129538861e-03
   71.85              1.500833692806e-03
   72.35              1.482790726449e-03
   72.85              1.464995432930e-03
   73.35              1.447442747367e-03
   73.85              1.430127742042e-03
   74.35              1.413045621792e-03
   74.85              1.396191719582e-03
   75.35              1.379561492251e-03
   75.85              1.363150516434e-03
   76.35              1.346954484636e-03
   76.85              1.330969201462e-03
   77.35              1.315190579998e-03
   77.85              1.299614638320e-03
   78.35              1.284237496154e-03
   78.85              1.269055371644e-03
   79.35              1.254064578255e-03
   79.85              1.239261521790e-03
   80.35              1.224642697516e-03
   80.85              1.210204687394e-03
   81.35              1.195944157421e-03
   81.85              1.181857855060e-03
   82.35              1.167942606765e-03
   82.85              1.154195315601e-03
   83.35              1.140612958943e-03
   83.85              1.127192586265e-03
   84.35              1.113931316998e-03
   84.85              1.100826338470e-03
   85.35              1.087874903921e-03
   85.85              1.075074330577e-03
   86.35              1.062421997805e-03
   86.85              1.049915345319e-03
   87.35              1.037551871452e-03
   87.85              1.025329131494e-03
   88.35              1.013244736075e-03
   88.85              1.001296349607e-03
   89.35              9.894816887863e-04
   89.85              9.777985211294e-04
   90.35              9.662446635739e-04
   90.85              9.548179811154e-04
   91.35              9.435163854927e-04
   91.85              9.323378339160e-04
   92.35              9.212803278355e-04
   92.85              9.103419117505e-04
   93.35              8.995206720564e-04
   93.85              8.888147359285e-04
   94.35              8.782222702418e-04
   94.85              8.677414805245e-04
   95.35              8.573706099441e-04
   95.85              8.471079383265e-04
   96.35              8.369517812042e-04
   96.85              8.269004888947e-04
   97.35              8.169524456074e-04
   97.85              8.071060685774e-04
   98.35              7.973598072265e-04
   98.85              7.877121423486e-04
   99.35              7.781615853204e-04
   99.85              7.687066773361e-04
  100.35              7.593459886640e-04
  100.85              7.500781179263e-04
  101.35              7.409016913990e-04
  101.85              7.318153623340e-04
  102.35              7.228178102994e-04
  102.85              7.139077405403e-04
  103.35              7.050838833575e-04
  103.85              6.963449935043e-04
  104.35              6.876898496008e-04
  104.85              6.791172535649e-04
  105.35              6.706260300589e-04
  105.85              6.622150259530e-04
  106.35              6.538831098031e-04
  106.85              6.456291713428e-04
  107.35              6.374521209912e-04
  107.85              6.293508893726e-04
  108.35              6.213244268506e-04
  108.85              6.133717030748e-04
  109.35              6.054917065397e-04
  109.85              5.976834441560e-04
  110.35              5.899459408334e-04
  110.85              5.822782390744e-04
  111.35              5.746793985794e-04
  111.85              5.671484958627e-04
  112.35              5.596846238778e-04
  112.85              5.522868916535e-04
  113.35              5.449544239394e-04
  113.85              5.376863608604e-04
  114.35              5.304818575809e-04
  114.85              5.233400839774e-04
  115.35              5.162602243193e-04
  115.85              5.092414769586e-04
  116.35              5.022830540274e-04
  116.85              4.953841811426e-04
  117.35              4.885440971192e-04
  117.85              4.817620536900e-04
  118.35              4.750373152327e-04
  118.85              4.683691585041e-04
  119.35              4.617568723808e-04
  119.85              4.551997576059e-04
  120.35              4.486971265434e-04
  120.85              4.422483029369e-04
  121.35              4.358526216757e-04
  121.85              4.295094285661e-04
  122.35              4.232180801079e-04
  122.85              4.169779432774e-04
  123.35              4.107883953146e-04
  123.85              4.046488235162e-04
  124.35              3.985586250335e-04
  124.85              3.925172066747e-04
  125.35              3.865239847129e-04
  125.85              3.805783846976e-04
  126.35              3.746798412712e-04
  126.85              3.688277979901e-04
  127.35              3.630217071493e-04
  127.85              3.572610296120e-04
  128.35              3.515452346422e-04
  128.85              3.458737997419e-04
  129.35              3.402462104923e-04
  129.85              3.346619603974e-04
  130.35              3.291205507329e-04
  130.85              3.236214903971e-04
  131.35              3.181642957661e-04
  131.85              3.127484905522e-04
  132.35              3.073736056648e-04
  132.85              3.020391790754e-04
  133.35              2.967447556849e-04
  133.85              2.914898871947e-04
  134.35              2.862741319795e-04
  134.85              2.810970549638e-04
  135.35              2.759582275012e-04
  135.85              2.708572272559e-04
  136.35              2.657936380869e-04
  136.85              2.607670499348e-04
  137.35              2.557770587113e-04
  137.85              2.508232661910e-04
  138.35              2.459052799050e-04
  138.85              2.410227130377e-04
  139.35              2.361751843251e-04
  139.85              2.313623179559e-04
  140.35              2.265837434739e-04
  140.85              2.218390956833e-04
  141.35              2.171280145554e-04
  141.85              2.124501451381e-04
  142.35              2.078051374659e-04
  142.85              2.031926464732e-04
  143.35              1.986123319087e-04
  143.85              1.940638582520e-04
  144.35              1.895468946309e-04
  144.85              1.850611147421e-04
  145.35              1.806061967721e-04
  145.85              1.761818233202e-04
  146.35              1.717876813234e-04
  146.85              1.674234619823e-04
  147.35              1.630888606890e-04
  147.85              1.587835769561e-04
  148.35              1.545073143470e-04
  148.85              1.502597804085e-04
  149.35              1.460406866035e-04
  149.85              1.418497482460e-04
  150.35              1.376866844369e-04
  150.85              1.335512180014e-04
  151.35              1.294430754274e-04
  151.85              1.253619868052e-04
  152.35              1.213076857683e-04
  152.85              1.172799094355e-04
  153.35              1.132783983544e-04
  153.85              1.093028964451e-04
  154.35              1.053531509459e-04
  154.85              1.014289123599e-04
  155.35              9.752993440203e-05
  155.85              9.365597394791e-05
  156.35              8.980679098311e-05
  156.85              8.598214855362e-05
  157.35              8.218181271726e-05
  157.85              7.840555249597e-05
  158.35              7.465313982895e-05
  158.85              7.092434952686e-05
  159.35              6.721895922666e-05
  159.85              6.353674934748e-05
  160.35              5.987750304721e-05
  160.85              5.624100617997e-05
  161.35              5.262704725425e-05
  161.85              4.903541739203e-05
  162.35              4.546591028843e-05
  162.85              4.191832217227e-05
  163.35              3.839245176725e-05
  163.85              3.488810025393e-05
  164.35              3.140507123233e-05
  164.85              2.794317068523e-05
  165.35              2.450220694216e-05
  165.85              2.108199064403e-05
  166.35              1.768233470838e-05
  166.85              1.430305429527e-05
  167.35              1.094396677378e-05
  167.85              7.604891689121e-06
  168.35              4.285650730297e-06
  168.85              9.860676983834e-07
