# header:
#   title: bremsstrahlung for E-incident 30 MeV
# datablock:
#   columns: 2
#   entries: 60
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              7.818476744555e-01
    0.85              3.165083185649e-01
    1.35              1.958647818525e-01
    1.85              1.404339676874e-01
    2.35              1.085907340180e-01
    2.85              8.792056479409e-02
    3.35              7.342059533848e-02
    3.85              6.268685171550e-02
    4.35              5.442063536217e-02
    4.85              4.785879351468e-02
    5.35              4.252346416204e-02
    5.85              3.810015692097e-02
    6.35              3.437343349739e-02
    6.85              3.119075728893e-02
    7.35              2.844109825169e-02
    7.85              2.604171425104e-02
    8.35              2.392968162772e-02
    8.85              2.205629675844e-02
    9.35              2.038327390727e-02
    9.85              1.888010109175e-02
   10.35              1.752216236468e-02
   10.85              1.628937928066e-02
   11.35              1.516521144634e-02
   11.85              1.413591009592e-02
   12.35              1.318995298441e-02
   12.85              1.231761121231e-02
   13.35              1.151061339318e-02
   13.85              1.076188256460e-02
   14.35              1.006532810038e-02
   14.85              9.415679660688e-03
   15.35              8.808353594916e-03
   15.85              8.239344631086e-03
   16.35              7.705137438744e-03
   16.85              7.202633937343e-03
   17.35              6.729093173774e-03
   17.85              6.282081304523e-03
   18.35              5.859429755122e-03
   18.85              5.459200038580e-03
   19.35              5.079654028320e-03
   19.85              4.719228723866e-03
   20.35              4.376514736584e-03
   20.85              4.050237870995e-03
   21.35              3.739243294192e-03
   21.85              3.442481878798e-03
   22.35              3.158998379083e-03
   22.85              2.887921159442e-03
   23.35              2.628453242570e-03
   23.85              2.379864483637e-03
   24.35              2.141484708645e-03
   24.85              1.912697681137e-03
   25.35              1.692935782919e-03
   25.85              1.481675312099e-03
   26.35              1.278432316452e-03
   26.85              1.082758892338e-03
   27.35              8.942398895801e-04
   27.85              7.124899713022e-04
   28.35              5.371509848860e-04
   28.85              3.678896063179e-04
   29.35              2.043952253159e-04
   29.85              4.637804300752e-05
