# header:
#   title: bremsstrahlung for E-incident 129 MeV
# datablock:
#   columns: 2
#   entries: 258
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              5.629640094783e-01
    0.85              2.309077820363e-01
    1.35              1.448191304773e-01
    1.85              1.052648851664e-01
    2.35              8.254223360478e-02
    2.85              6.779244224024e-02
    3.35              5.744557367109e-02
    3.85              4.978620343159e-02
    4.35              4.388760795979e-02
    4.85              3.920521773990e-02
    5.35              3.539804064523e-02
    5.85              3.224166305392e-02
    6.35              2.958235279983e-02
    6.85              2.731126302078e-02
    7.35              2.534916504841e-02
    7.85              2.363701586233e-02
    8.35              2.212991448296e-02
    8.85              2.079310704477e-02
    9.35              1.959927366413e-02
    9.85              1.852664164194e-02
   10.35              1.755764556392e-02
   10.85              1.667795788019e-02
   11.35              1.587577571925e-02
   11.85              1.514128825544e-02
   12.35              1.446627346076e-02
   12.85              1.384378900030e-02
   13.35              1.326793258931e-02
   13.85              1.273365425854e-02
   14.35              1.223660786719e-02
   14.85              1.177303261331e-02
   15.35              1.133965770170e-02
   15.85              1.093362505581e-02
   16.35              1.055242621089e-02
   16.85              1.019385044282e-02
   17.35              9.855941865992e-03
   17.85              9.536963741648e-03
   18.35              9.235368621356e-03
   18.85              8.949773242193e-03
   19.35              8.678937314149e-03
   19.85              8.421745513463e-03
   20.35              8.177192130501e-03
   20.85              7.944367926578e-03
   21.35              7.722448837593e-03
   21.85              7.510686228653e-03
   22.35              7.308398456802e-03
   22.85              7.114963541488e-03
   23.35              6.929812776722e-03
   23.85              6.752425146747e-03
   24.35              6.582322429707e-03
   24.85              6.419064892427e-03
   25.35              6.262247494686e-03
   25.85              6.111496533994e-03
   26.35              5.966466672379e-03
   26.85              5.826838295369e-03
   27.35              5.692315160662e-03
   27.85              5.562622300092e-03
   28.35              5.437504143599e-03
   28.85              5.316722838284e-03
   29.35              5.200056739282e-03
   29.85              5.087299052308e-03
   30.35              4.978256610374e-03
   30.85              4.872748769475e-03
   31.35              4.770606409945e-03
   31.85              4.671671031875e-03
   32.35              4.575793934426e-03
   32.85              4.482835470080e-03
   33.35              4.392664365985e-03
   33.85              4.305157105437e-03
   34.35              4.220197363392e-03
   34.85              4.137675490559e-03
   35.35              4.057488041285e-03
   35.85              3.979537340945e-03
   36.35              3.903731089033e-03
   36.85              3.829981994567e-03
   37.35              3.758207440783e-03
   37.85              3.688329176399e-03
   38.35              3.620273031034e-03
   38.85              3.553968652603e-03
   39.35              3.489349264729e-03
   39.85              3.426351442423e-03
   40.35              3.364914904436e-03
   40.85              3.304982320868e-03
   41.35              3.246499134726e-03
   41.85              3.189413396281e-03
   42.35              3.133675609158e-03
   42.85              3.079238587195e-03
   43.35              3.026057321217e-03
   43.85              2.974088854919e-03
   44.35              2.923292169147e-03
   44.85              2.873628073916e-03
   45.35              2.825059107576e-03
   45.85              2.777549442574e-03
   46.35              2.731064797314e-03
   46.85              2.685572353659e-03
   47.35              2.641040679671e-03
   47.85              2.597439657176e-03
   48.35              2.554740413843e-03
   48.85              2.512915259422e-03
   49.35              2.471937625861e-03
   49.85              2.431782011027e-03
   50.35              2.392423925782e-03
   50.85              2.353839844181e-03
   51.35              2.316007156574e-03
   51.85              2.278904125430e-03
   52.35              2.242509843686e-03
   52.85              2.206804195467e-03
   53.35              2.171767819005e-03
   53.85              2.137382071631e-03
   54.35              2.103628996703e-03
   54.85              2.070491292329e-03
   55.35              2.037952281802e-03
   55.85              2.005995885608e-03
   56.35              1.974606594936e-03
   56.85              1.943769446580e-03
   57.35              1.913469999155e-03
   57.85              1.883694310545e-03
   58.35              1.854428916512e-03
   58.85              1.825660810398e-03
   59.35              1.797377423848e-03
   59.85              1.769566608502e-03
   60.35              1.742216618596e-03
   60.85              1.715316094425e-03
   61.35              1.688854046605e-03
   61.85              1.662819841110e-03
   62.35              1.637203185022e-03
   62.85              1.611994112961e-03
   63.35              1.587182974160e-03
   63.85              1.562760420149e-03
   64.35              1.538717393006e-03
   64.85              1.515045114162e-03
   65.35              1.491735073709e-03
   65.85              1.468779020202e-03
   66.35              1.446168950924e-03
   66.85              1.423897102577e-03
   67.35              1.401955942401e-03
   67.85              1.380338159678e-03
   68.35              1.359036657610e-03
   68.85              1.338044545549e-03
   69.35              1.317355131572e-03
   69.85              1.296961915361e-03
   70.35              1.276858581399e-03
   70.85              1.257038992447e-03
   71.35              1.237497183299e-03
   71.85              1.218227354792e-03
   72.35              1.199223868076e-03
   72.85              1.180481239104e-03
   73.35              1.161994133363e-03
   73.85              1.143757360808e-03
   74.35              1.125765871003e-03
   74.85              1.108014748464e-03
   75.35              1.090499208175e-03
   75.85              1.073214591292e-03
   76.35              1.056156361008e-03
   76.85              1.039320098587e-03
   77.35              1.022701499546e-03
   77.85              1.006296369985e-03
   78.35              9.901006230602e-04
   78.85              9.741102755894e-04
   79.35              9.583214447849e-04
   79.85              9.427303451113e-04
   80.35              9.273332852594e-04
   80.85              9.121266652325e-04
   81.35              8.971069735404e-04
   81.85              8.822707844956e-04
   82.35              8.676147556093e-04
   82.85              8.531356250800e-04
   83.35              8.388302093742e-04
   83.85              8.246954008920e-04
