# header:
#   title: bremsstrahlung for E-incident 17 MeV
# datablock:
#   columns: 2
#   entries: 34
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              9.167080839154e-01
    0.85              3.661326581404e-01
    1.35              2.233908810876e-01
    1.85              1.578068213606e-01
    2.35              1.201308721558e-01
    2.85              9.567455425090e-02
    3.35              7.851862975045e-02
    3.85              6.581878953583e-02
    4.35              5.603845281882e-02
    4.85              4.827468037336e-02
    5.35              4.196208034762e-02
    5.85              3.672855724935e-02
    6.35              3.231921101695e-02
    6.85              2.855356496446e-02
    7.35              2.530025170823e-02
    7.85              2.246137326171e-02
    8.35              1.996248025789e-02
    8.85              1.774594804546e-02
    9.35              1.576647810174e-02
    9.85              1.398796957362e-02
   10.35              1.238129761827e-02
   10.85              1.092270602747e-02
   11.35              9.592624708987e-03
   11.85              8.374786539742e-03
   12.35              7.255558748573e-03
   12.85              6.223430396406e-03
   13.35              5.268615029420e-03
   13.85              4.382739400122e-03
   14.35              3.558597264155e-03
   14.85              2.789952915122e-03
   15.35              2.071383116515e-03
   15.85              1.398148951889e-03
   16.35              7.660911887695e-04
   16.85              1.715442721257e-04
