# header:
#   title: bremsstrahlung for E-incident 148 MeV
# datablock:
#   columns: 2
#   entries: 296
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              5.483134853732e-01
    0.85              2.250115757091e-01
    1.35              1.411925620925e-01
    1.85              1.026811234038e-01
    2.35              8.055753096558e-02
    2.85              6.619660254079e-02
    3.35              5.612251842190e-02
    3.85              4.866507952870e-02
    4.35              4.292199440405e-02
    4.85              3.836305054222e-02
    5.35              3.465624571998e-02
    5.85              3.158308274769e-02
    6.35              2.899388244821e-02
    6.85              2.678266759391e-02
    7.35              2.487229829801e-02
    7.85              2.320528814809e-02
    8.35              2.173791993229e-02
    8.85              2.043635603466e-02
    9.35              1.927399683197e-02
    9.85              1.822964363970e-02
   10.35              1.728619413750e-02
   10.85              1.642969850648e-02
   11.35              1.564866504559e-02
   11.85              1.493354158140e-02
   12.35              1.427632285115e-02
   12.85              1.367024954738e-02
   13.35              1.310957499295e-02
   13.85              1.258938235582e-02
   14.35              1.210544007667e-02
   14.85              1.165408650319e-02
   15.35              1.123213707130e-02
   15.85              1.083680905467e-02
   16.35              1.046566012163e-02
   16.85              1.011653783150e-02
   17.35              9.787537863571e-03
   17.85              9.476969266391e-03
   18.35              9.183325388404e-03
   18.85              8.905259434978e-03
   19.35              8.641563815063e-03
   19.85              8.391152609249e-03
   20.35              8.153046622394e-03
   20.85              7.926360586947e-03
   21.35              7.710292164402e-03
   21.85              7.504112456847e-03
   22.35              7.307157792136e-03
   22.85              7.118822587587e-03
   23.35              6.938553130556e-03
   23.85              6.765842141326e-03
   24.35              6.600224005862e-03
   24.85              6.441270584100e-03
   25.35              6.288587514280e-03
   25.85              6.141810946195e-03
   26.35              6.000604646348e-03
   26.85              5.864657426569e-03
   27.35              5.733680854681e-03
   27.85              5.607407211765e-03
   28.35              5.485587665600e-03
   28.85              5.367990634035e-03
   29.35              5.254400315640e-03
   29.85              5.144615368045e-03
   30.35              5.038447716912e-03
   30.85              4.935721480726e-03
   31.35              4.836271998486e-03
   31.85              4.739944948969e-03
   32.35              4.646595551678e-03
   32.85              4.556087840759e-03
   33.35              4.468294004229e-03
   33.85              4.383093781778e-03
   34.35              4.300373915147e-03
   34.85              4.220027645837e-03
   35.35              4.141954255433e-03
   35.85              4.066058644399e-03
   36.35              3.992250945635e-03
   36.85              3.920446169497e-03
   37.35              3.850563877325e-03
   37.85              3.782527880851e-03
   38.35              3.716265965119e-03
   38.85              3.651709632805e-03
   39.35              3.588793868020e-03
   39.85              3.527456917910e-03
   40.35              3.467640090479e-03
   40.85              3.409287567270e-03
   41.35              3.352346229628e-03
   41.85              3.296765497425e-03
   42.35              3.242497179206e-03
   42.85              3.189495332823e-03
   43.35              3.137716135723e-03
   43.85              3.087117764099e-03
