# header:
#   title: bremsstrahlung for E-incident 62 MeV
# datablock:
#   columns: 2
#   entries: 124
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              6.558724194523e-01
    0.85              2.678748047770e-01
    1.35              1.672828306020e-01
    1.85              1.210648965215e-01
    2.35              9.451416843275e-02
    2.85              7.727948528742e-02
    3.35              6.518948367800e-02
    3.85              5.623974222687e-02
    4.35              4.934741260359e-02
    4.85              4.387618187171e-02
    5.35              3.942761108971e-02
    5.85              3.573947975763e-02
    6.35              3.263215650933e-02
    6.85              2.997845709291e-02
    7.35              2.768580521614e-02
    7.85              2.568521090328e-02
    8.35              2.392420872370e-02
    8.85              2.236218984125e-02
    9.35              2.096723180184e-02
    9.85              1.971389386796e-02
   10.35              1.858165138663e-02
   10.85              1.755376305104e-02
   11.35              1.661643756440e-02
   11.85              1.575821127494e-02
   12.35              1.496947699273e-02
   12.85              1.424212281030e-02
   13.35              1.356925208723e-02
   13.85              1.294496408785e-02
   14.35              1.236418047867e-02
   14.85              1.182250687684e-02
   15.35              1.131612145754e-02
   15.85              1.084168464513e-02
   16.35              1.039626537477e-02
   16.85              9.977280482474e-03
   17.35              9.582444575323e-03
   17.85              9.209728326836e-03
   18.35              8.857323590528e-03
   18.85              8.523614065695e-03
   19.35              8.207150511137e-03
   19.85              7.906629704920e-03
   20.35              7.620876505889e-03
   20.85              7.348828496259e-03
   21.35              7.089522782162e-03
   21.85              6.842084606468e-03
   22.35              6.605717490089e-03
   22.85              6.379694667643e-03
   23.35              6.163351623461e-03
   23.85              5.956079566456e-03
   24.35              5.757319708917e-03
   24.85              5.566558235988e-03
   25.35              5.383321870472e-03
   25.85              5.207173952365e-03
   26.35              5.037710964736e-03
   26.85              4.874559447782e-03
   27.35              4.717373251375e-03
   27.85              4.565831083565e-03
   28.35              4.419634318499e-03
   28.85              4.278505032291e-03
   29.35              4.142184239651e-03
   29.85              4.010430307736e-03
   30.35              3.883017526790e-03
   30.85              3.759734819781e-03
   31.35              3.640384575516e-03
   31.85              3.524781591667e-03
   32.35              3.412752115819e-03
   32.85              3.304132974091e-03
   33.35              3.198770778143e-03
   33.85              3.096521202459e-03
   34.35              2.997248324757e-03
   34.85              2.900824023172e-03
   35.35              2.807127424603e-03
   35.85              2.716044399216e-03
   36.35              2.627467096672e-03
   36.85              2.541293520114e-03
   37.35              2.457427134361e-03
   37.85              2.375776505166e-03
   38.35              2.296254966694e-03
   38.85              2.218780314668e-03
   39.35              2.143274522923e-03
   39.85              2.069663481284e-03
   40.35              1.997876752945e-03
   40.85              1.927847349658e-03
   41.35              1.859511523233e-03
   41.85              1.792808571991e-03
   42.35              1.727680660921e-03
   42.85              1.664072654426e-03
   43.35              1.601931960653e-03
   43.85              1.541208386465e-03
   44.35              1.481854002224e-03
   44.85              1.423823015626e-03
   45.35              1.367071653869e-03
   45.85              1.311558053547e-03
   46.35              1.257242157655e-03
   46.85              1.204085619199e-03
   47.35              1.152051710911e-03
   47.85              1.101105240623e-03
   48.35              1.051212471891e-03
   48.85              1.002341049501e-03
   49.35              9.544599294889e-04
   49.85              9.075393133890e-04
   50.35              8.615505863874e-04
   50.85              8.164662591301e-04
   51.35              7.722599129295e-04
   51.85              7.289061481407e-04
   52.35              6.863805354968e-04
   52.85              6.446595702066e-04
   53.35              6.037206286332e-04
   53.85              5.635419273862e-04
   54.35              5.241024846717e-04
   54.85              4.853820837570e-04
   55.35              4.473612384143e-04
   55.85              4.100211602220e-04
   56.35              3.733437276053e-04
   56.85              3.373114565123e-04
   57.35              3.019074726222e-04
   57.85              2.671154849965e-04
   58.35              2.329197610833e-04
   58.85              1.993051029970e-04
   59.35              1.662568249964e-04
   59.85              1.337607320919e-04
   60.35              1.018030997160e-04
   60.85              7.037065439647e-05
   61.35              3.945055537389e-05
   61.85              9.030377111579e-06
