# header:
#   title: bremsstrahlung for E-incident 76 MeV
# datablock:
#   columns: 2
#   entries: 152
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              6.272272153203e-01
    0.85              2.565630236921e-01
    1.35              1.604648999367e-01
    1.85              1.163117079409e-01
    2.35              9.094710828378e-02
    2.85              7.448236815546e-02
    3.35              6.293247582665e-02
    3.85              5.438255553129e-02
    4.35              4.779813415440e-02
    4.85              4.257132543255e-02
    5.35              3.832149030356e-02
    5.85              3.479812271799e-02
    6.35              3.182961616952e-02
    6.85              2.929446824126e-02
    7.35              2.710423839848e-02
    7.85              2.519301872675e-02
    8.35              2.351068763847e-02
    8.85              2.201845045846e-02
    9.35              2.068581083782e-02
    9.85              1.948846457967e-02
   10.35              1.840680395033e-02
   10.85              1.742483554490e-02
   11.35              1.652938417959e-02
   11.85              1.570949833034e-02
   12.35              1.495599999925e-02
   12.85              1.426113967058e-02
   13.35              1.361832880473e-02
   13.85              1.302193027576e-02
   14.35              1.246709261990e-02
   14.85              1.194961776914e-02
   15.35              1.146585463504e-02
   15.85              1.101261283433e-02
   16.35              1.058709224466e-02
   16.85              1.018682510246e-02
   17.35              9.809628112545e-03
   17.85              9.453562606658e-03
   18.35              9.116901215533e-03
   18.85              8.798099845158e-03
   19.35              8.495773997799e-03
   19.85              8.208678671718e-03
   20.35              7.935691224069e-03
   20.85              7.675796699568e-03
   21.35              7.428075220711e-03
   21.85              7.191691109308e-03
   22.35              6.965883468214e-03
   22.85              6.749957999596e-03
   23.35              6.543279874388e-03
   23.85              6.345267498665e-03
   24.35              6.155387048022e-03
   24.85              5.973147661792e-03
   25.35              5.798097205985e-03
   25.85              5.629818527966e-03
   26.35              5.467926137537e-03
   26.85              5.312063258857e-03
   27.35              5.161899205722e-03
   27.85              5.017127039594e-03
   28.35              4.877461475445e-03
   28.85              4.742637005375e-03
   29.35              4.612406214012e-03
   29.85              4.486538263231e-03
   30.35              4.364817526644e-03
   30.85              4.247042356883e-03
   31.35              4.133023970846e-03
   31.85              4.022585439944e-03
   32.35              3.915560773985e-03
   32.85              3.811794088725e-03
   33.35              3.711138848300e-03
   33.85              3.613457174800e-03
   34.35              3.518619218142e-03
   34.85              3.426502580183e-03
   35.35              3.336991787711e-03
   35.85              3.249977809533e-03
   36.35              3.165357613424e-03
   36.85              3.083033759136e-03
   37.35              3.002914024105e-03
   37.85              2.924911058825e-03
   38.35              2.848942069171e-03
   38.85              2.774928523267e-03
   39.35              2.702795880689e-03
   39.85              2.632473342065e-03
   40.35              2.563893617286e-03
   40.85              2.496992710739e-03
   41.35              2.431709722125e-03
   41.85              2.367986661555e-03
   42.35              2.305768277739e-03
   42.85              2.245001898214e-03
   43.35              2.185637280615e-03
   43.85              2.127626474135e-03
   44.35              2.070923690350e-03
   44.85              2.015485182681e-03
   45.35              1.961269133835e-03
   45.85              1.908235550613e-03
   46.35              1.856346165519e-03
   46.85              1.805564344674e-03
   47.35              1.755855001567e-03
   47.85              1.707184516204e-03
   48.35              1.659520659288e-03
   48.85              1.612832521039e-03
   49.35              1.567090444356e-03
   49.85              1.522265961989e-03
   50.35              1.478331737465e-03
   50.85              1.435261509489e-03
   51.35              1.393030039605e-03
   51.85              1.351613062872e-03
   52.35              1.310987241377e-03
   52.85              1.271130120384e-03
   53.35              1.232020086945e-03
   53.85              1.193636330820e-03
   54.35              1.155958807560e-03
   54.85              1.118968203593e-03
   55.35              1.082645903221e-03
   55.85              1.046973957376e-03
   56.35              1.011935054049e-03
   56.85              9.775124902698e-04
   57.35              9.436901455628e-04
   57.85              9.104524567713e-04
   58.35              8.777843941802e-04
   58.85              8.456714388548e-04
   59.35              8.140995611255e-04
   59.85              7.830552001502e-04
   60.35              7.525252444935e-04
   60.85              7.224970136627e-04
   61.35              6.929582405471e-04
   61.85              6.638970547091e-04
   62.35              6.353019664788e-04
   62.85              6.071618518082e-04
   63.35              5.794659378427e-04
   63.85              5.522037891704e-04
   64.35              5.253652947121e-04
   64.85              4.989406552184e-04
   65.35              4.729203713406e-04
   65.85              4.472952322445e-04
   66.35              4.220563047399e-04
   66.85              3.971949228973e-04
   67.35              3.727026781273e-04
   67.85              3.485714096988e-04
   68.35              3.247931956731e-04
   68.85              3.013603442331e-04
   69.35              2.782653853878e-04
   69.85              2.555010630327e-04
   70.35              2.330603273494e-04
   70.85              2.109363275260e-04
   71.35              1.891224047850e-04
   71.85              1.676120857008e-04
   72.35              1.463990757954e-04
   72.85              1.254772533972e-04
   73.35              1.048406637516e-04
   73.85              8.448351336998e-05
   74.35              6.440016460747e-05
   74.85              4.458513045769e-05
   75.35              2.503306955475e-05
   75.85              5.738781373004e-06
