# header:
#   title: bremsstrahlung for E-incident 18 MeV
# datablock:
#   columns: 2
#   entries: 36
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              9.012373632879e-01
    0.85              3.605850540334e-01
    1.35              2.204159368192e-01
    1.85              1.560139099911e-01
    2.35              1.190170009622e-01
    2.85              9.500146352237e-02
    3.35              7.815474322876e-02
    3.85              6.568379443999e-02
    4.35              5.607973043024e-02
    4.85              4.845588580395e-02
    5.35              4.225705886481e-02
    5.85              3.711786046228e-02
    6.35              3.278798464283e-02
    6.85              2.909020748315e-02
    7.35              2.589552925675e-02
    7.85              2.310781640952e-02
    8.35              2.065396138830e-02
    8.85              1.847737812090e-02
    9.35              1.653358450776e-02
    9.85              1.478713034773e-02
   10.35              1.320941572007e-02
   10.85              1.177711257883e-02
   11.35              1.047100354695e-02
   11.85              9.275114686543e-03
   12.35              8.176058932238e-03
   12.85              7.162532808617e-03
   13.35              6.224926244819e-03
   13.85              5.355016905843e-03
   14.35              4.545728426727e-03
   14.85              3.790937488291e-03
   15.35              3.085318597963e-03
   15.85              2.424218249610e-03
   16.35              1.803552173329e-03
   16.85              1.219720879022e-03
   17.35              6.695398034076e-04
   17.85              1.501811970151e-04
