# header:
#   title: bremsstrahlung for E-incident 43 MeV
# datablock:
#   columns: 2
#   entries: 86
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              7.141479469076e-01
    0.85              2.906135462866e-01
    1.35              1.808083313108e-01
    1.85              1.303572865921e-01
    2.35              1.013747715410e-01
    2.85              8.256156001661e-02
    3.35              6.936423252933e-02
    3.85              5.959478231148e-02
    4.35              5.207118271842e-02
    4.85              4.609884077342e-02
    5.35              4.124282442561e-02
    5.85              3.721689634238e-02
    6.35              3.382497268171e-02
    6.85              3.092822035837e-02
    7.35              2.842558399738e-02
    7.85              2.624175481614e-02
    8.35              2.431946206379e-02
    8.85              2.261437753204e-02
    9.35              2.109165498230e-02
    9.85              1.972352355436e-02
   10.35              1.848757873781e-02
   10.85              1.736554588593e-02
   11.35              1.634237055403e-02
   11.85              1.540553913200e-02
   12.35              1.454456450527e-02
   12.85              1.375059179502e-02
   13.35              1.301609269603e-02
   13.85              1.233462602295e-02
   14.35              1.170064831665e-02
   14.85              1.110936271177e-02
   15.35              1.055659734174e-02
   15.85              1.003870675846e-02
   16.35              9.552491440220e-03
   16.85              9.095131630477e-03
   17.35              8.664132616684e-03
   17.85              8.257279205905e-03
   18.35              7.872597643125e-03
   18.85              7.508323590307e-03
   19.35              7.162875069934e-03
   19.85              6.834829497690e-03
   20.35              6.522904100987e-03
   20.85              6.225939154965e-03
   21.35              5.942883574097e-03
   21.85              5.672782482055e-03
   22.35              5.414766450060e-03
   22.85              5.168042148130e-03
   23.35              4.931884197461e-03
   23.85              4.705628047658e-03
   24.35              4.488663731523e-03
   24.85              4.280430373783e-03
   25.35              4.080411349683e-03
   25.85              3.888130005431e-03
   26.35              3.703145865895e-03
   26.85              3.525051266006e-03
   27.35              3.353468351671e-03
   27.85              3.188046403739e-03
   28.35              3.028459445152e-03
   28.85              2.874404096915e-03
   29.35              2.725597653218e-03
   29.85              2.581776350013e-03
   30.35              2.442693804739e-03
   30.85              2.308119607772e-03
   31.35              2.177838048666e-03
   31.85              2.051646962374e-03
   32.35              1.929356682459e-03
   32.85              1.810789089909e-03
   33.35              1.695776747509e-03
   33.85              1.584162110941e-03
   34.35              1.475796808772e-03
   34.85              1.370540984426e-03
   35.35              1.268262694008e-03
   35.85              1.168837354508e-03
   36.35              1.072147237553e-03
   36.85              9.780810043687e-04
   37.35              8.865332780970e-04
   37.85              7.974042500094e-04
   38.35              7.105993165266e-04
   38.85              6.260287442659e-04
   39.35              5.436073606268e-04
   39.85              4.632542676688e-04
   40.35              3.848925772624e-04
   40.85              3.084491656909e-04
   41.35              2.338544460559e-04
   41.85              1.610421569975e-04
   42.35              8.994916638212e-05
   42.85              2.051528873324e-05
